id,trans
filename,scene_fate_chr618_ep1
info,scene_fate_chr618_ep1
200,フン、まぁ最後の夜だ。\nせいぜい悦に入るといいさ……
199,相変わらずの偽善者ぶり……\n問題外だ。反吐が出る。
198,そして、物陰からペンギーを\n見る影がもうひとつ──
194,あわてて踊りだすペンギーの姿を、\n傍でペンギー像が悠然と見守っていた。
193,「舞ってる」だよ！\nダンス！　ペンギーダンシンッ☆
192,ああ、いや、そのぉ……
191,えっ？　待ってるって……？
190,うん……！\nステージで待ってるよん☆
189,それで……\nペンギーちゃんみたいに\nなれるように、少しずつがんばるよ！
188,でも、決めたっ！\n明日は勇気を出して、\nペンギーちゃんと握手する！
187,わたし……\nペンギーちゃんみたいになんて、\nなれないって決めつけてた……
186,そっか……
185,ペンギーだって、最初から\nぜんぶできたワケじゃないよ……\nと、思うぜぃ☆
184,でもでもでも、できてたもん！\n小さなことからコツコツとなのさ～☆
183,そ、そうかな……？\nでもでも、ただのお遊びだし……
182,でも、ガールだってバッチシ、\nペンギーできてたよ☆
181,ぺっへ～ん☆\nペンギーごっこのプロですから！
180,あはは、楽しかったぁ。\nお姉ちゃん、すごいね！\n街の人とか爆発の音までひとりで……
179,ありがとう、ペンギー！\nこれで街の平和は……って、\nあ、今のボクは住民Ａ役ね！
175,ぎゅわ～～～～☆\nやられたがお～～～☆
174,ぺっぎ～～ん☆
168,しかし、開き直って\n憧れのペンギーを演じるうちに、\n徐々に表情が晴れていく。
167,ペンギーの謎の提案に、\n戸惑いを隠せない少女。
166,ぺ、ぺぎぃ～～っ！？
165,いいからいいから☆\nほらほら、ハリアップしないと\nパックンチョだぞ～～☆
164,む、むりむり……！\n役でもペンギーちゃんになんて……
163,ほら、ペンギーごっこ☆\nキミがペンギーになって、\n街を守るんだぜぃ☆
162,か、怪獣っ……！？\nいきなりどうしたの……？
161,<span class='scene-font-4'>がおーっ！</span>\nボクは悪い怪獣だよ☆\n街を食べちゃうぞ～～☆
160,ペンギーは勢いよく言い放つと、\n突然、威嚇するように手を振り上げる。
159,えっ……！？
158,……ううん。なれる！\n今からなっちゃおうよ☆
154,ペンギーになんて、\nなれっこないよ……
151,…………
150,はぁ……こんなわたしが\nペンギーちゃんみたいになるなんて、\nやっぱりムリだよね……
149,<span class='scene-font-4'>そうなのっ！</span>\nあ～、握手できるチャンスなんて、\nめったにないのに……！
148,あ、あはは～……\nそれでしょんぼりーぬで、\nペンギーの像を見てたんだね？
147,もったいなかった～！\nしておけばよかった～！
145,でも……？
144,でも……
143,ほら、わたしなんかが\nペンギーちゃんと握手したら、\nドジがうつっちゃうかもって……
142,さっきの握手会もね、\n目の前まで行ったんだけど、\nやめちゃったんだ。
141,少女はしゅんと俯き、\n深くため息をつく。
140,でもね、わたしってばその逆で、\nドジで、何やってもダメダメで……
139,強くて、カッコよくて……\nさっきのショーもすごかった！
138,わたし、ペンギーちゃんみたいに\nなりたいなって思ってるの！
137,ペンギーを同志と見たのか、\n少女はぐぐっと身を乗り出す。
136,そうだっ！\n同じペンギーちゃんのファンだもん、\nわたしの悩みを聞いてほしいの！
135,なるなる……☆\nよかった、ボクのことは\nバレてないパティーンみたい……
134,すると、少女はペンギーの周囲にいる\nチビペン達とそっくりの\n人形を取り出してみせる。
133,そ、それ……\nチビペンちゃんの人形だよね？\nわたしも、持ってるから……
132,ほえっ？
131,お姉ちゃんもペンギーちゃんファンで、\nこの像を見に来たんでしょ？
130,こ、これって……！
129,見れば、少女が見つめていた像は、\n精巧にペンギーを模したものだった。
128,へっ？　ペンギー像？
127,それに、みんなのペンギー像を\nひとりじめしちゃって……
126,ごめんなさい、\nわたしってばドジで……！
125,デンジャラスだったね☆\nだいじょぶ？
124,あわててこけそうになった少女を、\nペンギーが抱きかかえて支える。
123,おっとっとい☆
122,きゃあっ！？
121,あっ……！？\nご、ごめんなさっ……！
120,へいへ～い、キュートガール☆\nどしたのさ、こんなところで？
119,その少女は、広場に鎮座する\n大きな像を見ながら、\nぼんやりと立ち尽くしていた。
115,ひかないもんっ！\nボク、バカ＆ヒーローだからっ☆
114,あっ、おい……！\n汗くらい拭いてけよ！\nカゼひいても知らねぇぞー！
112,ボク、ちょっと行ってくる☆
111,ため息ついてしょんぼりーぬ？\nどしたんだろ……
110,はぁ……\nわたしってば、どうして……
