id,trans
filename,scene_chr622_q3_s30
info,scene_chr622_q3_s30
102,レオナは心の中で決意を新たにし、\n遥かな旅路に思いを馳せるように\n遠くの夜空を仰ぐのだった。
101,（みんなから認められた私の力、\n正しく使っていかなきゃだね。\nちゃんと前に進むために）
100,（大切なことは変わらないんだ。\nどんなことが起きたって）
99,（５年間過ごしたイデルバとも\nもうすぐお別れ。\n何もかも変わっていくけど……）
98,レオナは先程の戦闘でできた\n無数の生傷を見ながら、\n一度だけ深く頷いた。
97,カインと旅をしようって思ったのも\n元はと言えばそれが理由だった。\n凄く簡単なことだったんだね……
96,守りたいものを守るための力……
95,ハクタクは背中のフォリアを\n落とさないように注意しながら、\n颯爽とその場を立ち去った。
94,はい、そうします。\nハクタクさんもどうかお気をつけて。
93,レオナ様もお疲れでしょう。\nそろそろ宿に戻ってお休みください。
92,私もレオナ様の決意を聞き、\n力を与えたことは正しかったのだと\n再確認することができました。
91,夜も更けてまいりましたから。
90,……眠ってしまいましたね。
89,う～ん……？\n朝食は、甘いパンが、いいの……
88,我が王よ、\nこのようなところで\nお眠りにならないでください。
86,ハクタクよ、背中を借りるぞ……
85,ふあぁ～\n激しく動いたからの、\n妾の眠気も限界じゃ。
84,フォリアはレオナの決意を\n聞き届けると、話は終わったとでも\n言うように大きな欠伸をした。
83,ありがとうございます。\nもう迷いません。
82,何度も言うがお主は強い。\n元イデルバの王として妾が保証する。\n大事なものも必ずや守れるじゃろう。
81,フォリアの言葉を聞き、\nレオナは強く息を吐き出し、頷いた。
80,自分が情けないと思うなら\nいまの強い気持ちを忘れぬことじゃ。\n<span class='scene-font-spword'>「大切な物を守る」</span>……よいな？
79,はぁ……\nなんだか自分が情けなくなるな……
78,本当に全部お見通しだったんですね……
77,であれば目標を見失って\nくよくよされては、\n宝の持ち腐れというものじゃろ？
76,ハクタクが与えた力は、\nその特性をいかんなく伸ばすのに\nうってつけのものじゃ。
75,怒りであれ信念であれ、\nひとつの目標に向かって突き進む時の\nお主は驚くほどの力を発揮する。
74,この妾と生身で渡り合ったお主に\nハクタクの力まで上乗せして\n平気な方がどうかしておるわ。
68,っ……！
67,遅いッッ！！
66,ぐっ……！
64,（妾も力の全てを解放せねば、\n万が一の事態になりかねん……！）
63,（我を忘れた時のレオナは\n常々侮れんと思っておったが、\nこれほどまでとは……！）
62,くっ……！
59,でぁぁあああああッッッ！！！
53,大丈夫なわけなかろう。\n前に戦った時のことを覚えておるか？
52,フォリア様……\n大丈夫ですか？
51,御意。
50,ふあ……まあよいわそんなこと。\n些事よ些事。ハクタク、椅子。\n妾はもう立っておれん。
49,はい……\nすみません、ハクタクさん。
48,そのハクタクがお主の真価を\n認めたからこそ力は与えられた。\nこやつの目を疑ってやるなよ。
47,ハクタクはの、\n人を見る確かな目を持っておる。\n妾に王の器を見出したのもこやつよ。
46,フォリアは種明かしをするように\n悪戯っぽく笑い、\nハクタクの長い毛を指に絡ませる。
45,ふふ。苦しゅうない。
44,ありがとうございます、\nフォリア様、ハクタクさん……
43,……ごもっともです。
42,ある日突然手にした力なら尚更じゃ。\n使い道を失えば持て余すのは当然よ。\nのう、ハクタク？
41,生まれついて持っていた力を、\n実の父に利用されてきたからの。\n力の使い道は常々悩みの種じゃった。
40,ようやく気付いたようじゃな。\nお主の悩みはまあ、わからんでもない。
39,まさか、そのために\n私に会いに来たんですか？
38,力を得たのは、\n己の守りたい物のためと言ったな。\nそれをもう見失うでないぞ、以上。
37,ならばよし。\nわざわざ足を運んだ甲斐が\nあったというものじゃ。
36,は、はい……\nなんとなく、ですが。
35,力そのものには善も悪もない。\n使い手がその善悪を決める。\nわかるか、この意味が。
34,じゃが、犠牲者は出なかった。\nそれでよいじゃろ。
33,私に決意を示させるために\n力を使わせたんですか？\nとても危険な力なのに……
32,お主はどちらの道も選ばなかった。\nそして真の決意を妾に示した。\n文句なしの合格じゃ！
31,逆に、ハクタクに貰うた力を理由に\n自分の身をポンと犠牲にするのも\n考えものじゃ。矛先が変わっただけよ。
30,与えられた力をいたずらに\n振るう者なら、自分のために\n誰かを犠牲にすることを厭わぬ。
29,生きるか死ぬかの状況でも\nお主は自分と妾の両方を守ろうとした。\nならば問題はあるまいよ。
28,……いえ、いまいち……
