id,trans
filename,scene_chr527_q3_s30
info,scene_chr527_q3_s30
130,それは今後の\nクラリスの頑張り次第……だろうか？
129,今後、その関係が\nどう進展していくのか……
128,東海テイオーとの関係を\n進めるために\n一歩前へと踏み出したクラリス。
127,瞳にうっすらと涙を浮かべながらも\nクラリスは幸せそうな笑みを\n浮かべる。
126,えへへ、どうしよ……\nなんかね、今すっごく嬉しくて、\n何て言ったらいいかわかんないや……
125,あ、ありがと、東海テイオー☆
117,東海テイオーは首を横に振る。
116,そ、それとも、\nうちとふたりきりは、嫌……？
115,うちね、東海テイオーと\nもっと仲良くなりたいんだ……
114,デ、デートして！\nほしいん、だけど……
113,あ、あのね、東海テイオー……\nう、うちと……うちとね……
112,クラリスは頬を上気させながらも、\n東海テイオーの顔をじっと見る。
110,ううん、お願いしたいことがあるんだ。
109,あ、後ね、うち、\n東海テイオーに伝えたいことが……
108-sel1_txt,もちろん
108,その……受け取ってくれる？
107,だからね、うち、\nチョコを作ったんだけど……
106,あ、あのね？\n今日はバレンタインデー……\nだよね？
105,その……こういうところじゃないと\n東海テイオーとふたりきりに\nなれなかったから……
104,ごめんね、東海テイオー。\nこんなとこに呼びだして……
103,その後、クラリスは\n東海テイオーをとある街外れに\n呼び出していた。
98,こうしてクラリスは\nカリオストロに見送られながら、\n東海テイオーの元へと駆けていく。
97,<span class='scene-font-4'>うん！</span>\nそれじゃ、ししょー\nうち行ってくるね！
95,そうか……\nなら、後はお前の好きにやれ。
94,うん！　\nうち、もう迷わないよ！
93,それで？\nちゃんと覚悟は決めたんだな？
92,まぁ、いい。
91,だって、このチョコは\nうちの想いと一緒に東海テイオーに\n渡すものだから……
90,でも、うち、\nこれだけはちゃんと、\n納得のいくものが作りたくて……
89,うぐっ……\nごめん、ししょー
88,ったく……\n徹夜は美少女の敵なんだがな。
87,ようやく、満足のいくもんが\nできたのか？
86,ふあ……
84,できたばかりのチョコを掲げ、\nクラリスは満面の笑みを見せる。
83,できたーっ！
78,その後、クラリスはその勢いのまま、\n本命のチョコレート制作に\nとりかかるのだった。
77,カリオストロの言葉に\n闘志を燃やすクラリス。
76,っていうか、これについては、\nししょーにだけは\n絶対に負けないから！
75,う、うちだって美少女だもん！
74,美少女の完成形であるオレ様のチョコに\nお前如きぽんこつ娘のチョコが\n勝てると思うか？
73,天才美少女錬金術師の\nカリオストロちゃんだぞっ☆
72,はっ、決まってんだろ。\nお前の目の前に居るのは誰だ？
71,え、な、なんでっ？
70,ああ、それと一つ言っておくけどな……\nお前の想いが届く事はまずない。
69,クラリスの言葉には答えず、\nカリオストロはただ不敵に笑う。
68,……ふん。
67,あはは……でもそれ、\nししょーもだよね？
66,なんせ、どいつもこいつも\nお人好しだからな……
65,まぁ、そもそも、\nここの連中がその程度の事で\n仲違いするとは思えねぇ。
64,クラリスの決意に対し、\n好きにしろ、と言わんばかりに、\nカリオストロは肩をすくめる。
63,それでいいんだよね、ししょー！
62,みんなとの仲が微妙になったら、\nそれはそれでまた考える！\nいっぱい話して認めてもらう！
61,もう難しいこと考えるのはやめる！\nうちはうちらしくやる！
60,クラリスは自分の頬を叩き、\n気合を入れ直す。
59,っ！！
58,そうだね……\n確かにししょーの言う通りだ。
57,後のことも、周りのことも、\nその時になってみりゃ、\n意外となんとかなるもんだ。
56,なら、\nお前はその想いに従って突っ走れ。
55,うちは東海テイオーと\n今よりも仲良くなりたいっ！
54,うちは……
53,クラリス、\nお前はどうしたいんだ？\nいったいどれがお前の本音なんだ？
52,うちがどうしたいか……
51,それに大切なのは\n周りがどう思うかじゃねぇ。\nお前がどうしたいかだろうが。
50,物事がどう転ぶかなんてのはな、\n動いて見なきゃ、\n誰にもわかんねぇんだよ。
49,そ、それは……
48,あのな、そんなタラレバな話をして\n何になるんだ？\nそれで何かが変わるのか？
47,ったく、この馬鹿は……
46,ちょ、なに！？\nなんで！？
45,いったーーーーーっ！！
43,そんなクラリスに対し、\nカリオストロは\n勢いよく拳骨を落とす。
41,泣きそうな表情で\n心のうちを吐露するクラリス。
40,だから、そんな事になるぐらいならさ、\n想いなんて伝えない方が……
39,だって、ここはうちにとって\n大切な場所だから……
38,うちのせいで\n団の空気が悪くなるのは……\nそれは絶対に嫌なんだ。
37,やっぱり快く思わない……よね……？
36,その人はうちのこと……\nどう思うのかな？
35,もし……もしもだよ、\nうちの想いが叶ったら……
34,そうだな……\nこの団にはお前と同じ想いを持つ奴も\nいるからな。
33,でもさ、そう思うのは\nきっと、うちだけじゃないよね……
32,そんな東海テイオーだからこそ、\nうちはもっと仲良くなりたいって……\n特別になりたいって思った……
31,東海テイオーはいつもみんなのことを\n気にかけてくれてる……\n大切に思ってくれてるって……
30,みんなの言葉を聞いて、\nうち、改めて思ったんだ。
29,ねぇ、ししょー\nうち、東海テイオーと\nもっと仲良くなってもいいのかな？
28,カリオストロの言葉にクラリスは\n観念した様子を見せると、\n静かに心の内を話し始める。
27,めんどくせーな。\n正直に話さないとウロボロスで\nがぶっとしちゃうぞ☆
26,うっ……な、なんのこと？\nうち、悩みなんて……
25,それで？\n今度は何悩んでやがんだ？
24,それじゃ、ししょー\nうちらも部屋に……
23,その後、夜遅くなったこともあり、\nティナ達はそれぞれの部屋へと\n戻っていく。
18,その顔を見てカリオストロは\nやれやれというように、\nため息をつくのだった。
17,どこか強がったような笑みを見せる\nクラリス。
16,う、ううん、なんでもない！\nなんでもないよ、ししょー
15,ん、どうした？\nクラリス。
14,ティナの言葉にクラリスは一瞬、\n逡巡するかのような表情を見せる。
13,……うん。
12,みんなってことは\nクラリスちゃんも東海テイオーさんに\n渡すの？
11,そ、そうだよね……\nみんな、東海テイオーに渡すよね……
10,たくさんお世話になってるし、\n感謝の気持ちを込めて渡すつもり。
9,私も東海テイオーに渡すよ。\n東海テイオーはいつも、\n私の事、気にかけてくれるから……
8,だから、その感謝の気持ちを込めて\n東海テイオーちゃん達に渡すの。
7,東海テイオーちゃん達のおかげで\n私は自分の道を\n見つけられた……
6,私も東海テイオーちゃんや\nルリアちゃん達にだよ。
5,それに今の私と兄さんの関係が\nあるのは東海テイオーさんの\nおかげだから。
4,私は東海テイオーさんと兄さんだよ。\n東海テイオーさんには日ごろから色々と\nお世話になってるしね……
3,そう言えば、\nお前らは作ったチョコを\n誰に渡すんだ？
2,その後、チョコレート作りを終えた\nクラリス達はバレンタインについて\n思い思いの話に花を咲かせていた。
1,集めたチョコレートの素材を持って\n厨房へと戻るクラリス達。
0-synopsis,団員達と話す中で他の団員達の東海テイオーへの想いを知ってしまったクラリス。自身が想いを伝えない方がいいのではないかと悩むが、カリオストロから「自分の想いに従って突っ走れ」と叱咤される。クラリスは奮起してチョコレートを作り上げると、勇気を振り絞って東海テイオーにチョコレートを渡し、デートを申し込むのだった。
0-chapter_name,うち、頑張ります！
