id,trans
filename,scene_fate_chr622_ep1
info,scene_fate_chr622_ep1
149,レオナはパンパンに膨らんだバッグを\n棚の前まで引きずると、\n寝室を出ていくのだった。
148,はぁ……ふふ。\n仕事が終わったら、\n改めて荷造りしますか。
147,うわっ、重い……詰め込みすぎた。\nやっぱり料理の本と観光ガイドは\n要らなかったかな？
146,って、もう朝か。\nどうりで明るいと思った……\nそろそろ行かなきゃ。
145,レオナが手を動かすのとほぼ同時に、\n窓の外で朝を告げる鳥の声が\n軽快に響いた。
143,そんなことより、\nさっさと荷造り済ませないと──
142,私って、いつまで経っても\nすっきりしない人だな……
141,…………
140,しかしどんなに働いても不安は消えず、\n出立の日が迫るにつれてレオナの心は\n酷くざわつくようになっていた。
139,その不安を拭い去ろうとするように、\nレオナは苦痛に鈍感になった体で\nイデルバのために昼夜問わず働いた。
138,旅に出れば日常が変わる。\nだから不安を感じるのは当然のことだ。
137,（心配なことなんて\n何ひとつないはずなのに……\n何で……？）
136,（私達も新しい道を歩むために\n望んで旅立ちを決めた。\nトリッド王国崩壊の時とは違う）
135,（レム王国とも上手くやってるし、\n幽世の騒動も落ち着いてきてる）
134,（変だな。イデルバも\n共和国として生まれ変わって、\n私達の力は要らないくらい安定した）
133,（何でだろう？\n時々、物凄く不安になる）
132,（楽しみだよ。\n楽しみなはず、なのに……）
131,不意にレオナの顔に陰りが差し、\n作業をする手も止まってしまう。
130,…………
127,（楽しみだなぁ。\n本当に、凄く、楽しみ……）
126,（カイン、ラインハルザ、私。\n３人で好きな場所に行くんだ。\nこれからは何でもできるんだ）
125,（航路でも、みんなでご飯作って……\nラインハルザが料理得意なんだっけ？\n私にも食べさせてくれるかな……）
124,（美味しい食べ物はあるかな？\n色んな島の名物とか\n食べ歩いてみたいなぁ）
118,（標的も任務もなく、\n自由に……楽しそう）
117,（……旅立ち？\nそうか、これ、軍の遠征じゃなくって\n「旅」なんだ）
116,（もうすぐ旅立ちか……）
115,気持ちを切り替えるように\n敢えて明るい声で言い、\nレオナは荷造りを再開する。
114,……さぁて、荷造りの続きをしなきゃ！
113,うん、\n包帯、これでよし。
111,しかし何をしても痛くないという事実は\n苦しみの渦中にあったレオナにとって\nいくらか安らぎになっていたのだった。
110,体の痛みは消えても、\n心の痛みを消すことは叶わなかった。
109,（それって凄く皮肉なことだよね、\nアベル……）
