id,trans
filename,主线剧情第133章第2节第一幕
translator,雨降星
info,scene_cp133_q2_s10
46,姬塔、碧、露莉亚、\n卡塔莉娜、伊欧和萝塞塔\n带着疑惑，急忙赶往甲板。
45,发生了什么事……？
44,奇怪……？\n如果是中了埋伏，\n拉卡姆应该不会这么说吧？
43,但有些奇怪……\n所有人到甲板上集合。
42,哦。能借一步说话吗。\n终于可以看到岛了……
41,正当姬塔重新审视\n自己的前进道路之时，\n连接驾驶室的传声筒传来了声音。
40,听到陪伴自己一路走来的碧的话，\n姬塔用力点头回应。
39,感觉终于能在第三个空域\n看到终点了呢！
38,这并不容易……\n但如果我们能妥善应对，\n说不定就能一下子\n接近伊斯塔尔西亚一大截。
37,但面对真王，\n对我们来说是最好的机会。
36,虽然可能和「苍蓝解放战线」的孩子们的想法有些不同……
35,确实……反过来说，\n真王身上也有着\n姬塔所求之物的一大线索。
34,呵呵……是啊。\n我们已经走了这么远了。\n已经不会再犹豫不决了。
33-sel2_txt,正合我意
33-sel1_txt,我准备好了
33,真王和这片空域\n就是这样的对手。
32,只要姬塔继续旅程，\n那就不可能避开……
31,从我们在赞克汀泽的谈话来看，\n姬塔的姨妈\n还被真王囚禁着呢。
30,不只是你老爹的事。\n我们第一次听到的时候\n也吓了一跳……
28,关于姬塔的爸爸……\n还有伊斯塔尔西亚，\n他好像也知道些什么。
27,当大家都在思考前所未有的威胁——真王的时候，露莉亚嘟囔了一句。
26,这样看来，\n他确实有实力控制\n好几个空域。
25,明明不是星之民，\n却能像使用工具一样利用星晶兽\n进行国家建设……
24,从他和小芙莉亚和小亚里亚的关系来看，\n真王是兽耳族……也就是空之民。
23,他大概不能算是\n“一介国王”……。
22,居然会被一介国王统治，\n通常不是相反的吗？
21,星晶兽对岛屿来说\n本该是神一样的存在，对吧？\n像提亚玛特还有利维坦那样……
20,感觉有点不对劲。\n就像颠倒了一样……
19,之前的空域也有星晶兽居住的岛屿。\n但是，居然会被统治……
18,利用星晶兽来统治岛屿，吗。
17,蓝巾军的目的是打倒真王。\n在前往他们指定的岛屿的路上，\n一行人正在整理目前得知的信息。
11,明显与真王走上不同道路的一行人\n在“苍蓝解放战线”的协助下\n逃离伊斯塔拜恩王国首都。
5,姬塔一行收集了空图的碎片，\n来到了真王统治的奥莱·格兰德大空域。
0-synopsis,姬塔一行人逃离伊斯塔拜恩王国首都，在前往“苍蓝解放战线”指示的岛屿途中整理情报。真王利用星晶兽统治各个岛屿，而他似乎对姬塔的父亲、姨妈和伊斯塔尔西亚也有所了解。当他们决心与真王对决时，驾驶室的拉卡姆和欧根通知他们到甲板上集合。
0-chapter_name,第133章 预备铃
