id,trans
filename,scene_chr622_q2_s10
info,scene_chr622_q2_s10
61,レオナは唐突に話を切り上げると、\n足早にその場を去るのだった。
60,ん……？
58,もうそろそろ解散しましょう。\nよく休んで明日に備えてください。\nそれでは、また。
57,あ、ううん……\n何でもありません。
56,レオナ様……？\nすみません、何か気に障りましたか？
55,（なのに旅の目的がなくて、\n力を使う意味も曖昧になってきてて、\nだから不安になってたんだ……）
54,（いままではイデルバのためっていう\nはっきりとした目的があったけど、\n旅に出たらそうはいかなくなる）
53,（そっか。本当は私、\nずっと前から気づいてたんだ。\n自分の旅の目的がないってことに）
52,（この不安感……\nまただ……）
51,部下の口から出た何気ない言葉に\nレオナの心は唐突にざわつき始める。
50,（でも、何でだろう？\n凄く胸騒ぎがする……）
49,（東海テイオーさんも危険な旅路を\n行くだろうから、私達にもきっと何か\n手伝えることはあると思うけど……）
48,（イデルバを出るのも、\n東海テイオーさんのところに行こうって\n言い出したのもカインだった）
47,（……旅の目的、か。\nそういえば考えたこともなかったな）
46,あ……はは、うん……
45,ははは、とんでもないことです。\n空域すら飛び越えて<span class='scene-font-spword'>星の島</span>とは！\nさすがレオナ様！
44,なるほど、騎空士に……\nレオナ様も、もしや\n<span class='scene-font-spword'>星の島</span>を目指すのですか？
43,おお……あの騎空団ですか。\n確か<span class='scene-font-spword'>星の島イスタルシア</span>を目指して\n空域を越えてきたという。
42,え、えっと……\n東海テイオーさんの騎空団に入れたら\nいいな、とかは考えてますけど……
41,国を想ってのこととは他に、\n何か目的があるんですよね？
40,レオナ様ほどのお方が\nイデルバを離れるんです。
39,旅の目的？\n私の……？
38,はい！\n自分もレオナ様の旅の目的が\n達成されるよう応援しています！
37,共和国として立派に成長した\nイデルバを見られることを\n楽しみにしてますね。
36,いつか旅が一段落して、\n<span class='scene-font-place'>グロース島</span>に立ち寄った時に……
35,レオナの実直な言葉に、\n兵士達は色めき立つ。
34,本当に信じていただけているのだと\n実感できました。これはますます\n研鑽に励まないといけませんね！
33,自分達の都合でレオナ様を\n引き留めるわけにはいかないと、\n俺も口を噤んできましたが……
32,ああ、俺もいまの言葉は\n自信になりました。
31,……っ！\n我々のことをそんな風に\n思ってくださっていたんですか。
30,そう思ったからこそ、私やカインは\nみなさんにイデルバを託そうと\n決めたんです。
29,みなさんが持っているのは、\n私には無い、大きな力です。それこそ、\nこれからのイデルバが必要とするもの。
28,私ひとりだったなら、\n方々へ散った魔物までは\nとても対処できませんでした。
27,現に先の戦いでも、\nみなさんの連携のお陰で\n街は守られたんです。
26,力を合わせることも強さ、ですか……
25,力を合わせるっていうのも\nひとつの強さの形なんですよ。
24,百人力の強者の時代は終わり、\n弱くとも百人が力を合わせる、\nそんな時代が来たんです。
23,みんなで作る、みんなのための国。\nそれがいまのイデルバなんです。
22,ですが思い出してください。\nイデルバはもう王国じゃなくて\n共和国なんです。
21,イデルバの将来に\n不安を覚えていることは\nわかりました。
20,レオナは表情を明るくし、\n部下達の顔をゆっくりと見回す。
19,（……大丈夫。\n私やカインの選択はきっと\n間違ってない）
18,やはり無理なんでしょうか？\n引き続きイデルバのために\nご尽力いただくというのは……
17,自分としてはレオナ様の力こそ\nイデルバに必要なのではないかと\n思えてなりません。
16,（全然気づいてなかったな……\n私、また自分のことで\nいっぱいいっぱいになってた）
15,（でもみんなはそれを知らない。\nだから本気を出す私を見る度に\n不安に駆られてたんだ）
14,（正しい表現だ……\n私の力はハクタクさんからもらった\n歪んだものだから）
13,努力では埋められない圧倒的な差……
12,やはり今日のレオナ様の戦いを見て\n力の差を痛感しました。\n努力では埋められない圧倒的な差を。
11,自分もイデルバ繁栄のため、\n日々鍛錬を積んでいますが……
10,自分は不安になりました。\nこれだけお強い方がいなくなって、\nイデルバはやっていけるのだろうかと。
9,すみません……\nレオナ様とカイン将軍達が\nイデルバを去ると伺った時……
8,構いません。\n続けてください。
7,おい、お前！\nそれはいま話すことじゃないだろう！
6,え？
5,レオナ様、イデルバから離れることを\n考え直していただくことは\nやはりできないんでしょうか？
4,特に声を上げる者はいない。\nならば解散にしようとレオナが\n口を開きかけたその時──
3,明日の集合時間は連絡してある通りに。\n他に何か共有事項がある人は\nいませんか？
2,みなさん、魔物の討伐お疲れ様でした。\n今日はそろそろ日も落ちるし、\n宿に戻って休みましょう。
1,魔物の後始末を終えたレオナは\n隊を引き連れて街まで戻っていた。
0-synopsis,街へ戻った後、兵士のひとりがレオナに「やはりイデルバに留まり力を貸してほしい」と切り出す。レオナは先ほどの戦闘での兵士達の連携を例に出し、いまのイデルバには兵士達のように力を合わせられる人達が必要だと励ます。兵士達はレオナの言葉に勇気づけられるが、レオナは兵士と話すうちに自分の旅の目的や力の使い道が曖昧であることに気づき、表情を曇らせるのだった。
0-chapter_name,女獅子の強さの理由
