id,trans
filename,scene_fate_chr527_ep1
translator,エミル
info,scene_fate_chr527_ep1
163,看着这样的克拉莉丝、\n不知为何卡莉奥斯特萝露出了\n不怀好意的笑容。
162,记下了卡莉奥斯特萝说的话\n克拉莉丝跑向了姬塔在的地方。
159,好。\n那么、马上去找姬塔吧。
158,嗯、嗯……！\n知道了！
157,但是、必须问出姬塔的喜好。\n知道了吗？
156,切、没办法……\n那么仅限这次\n大家一起去买吧。
155,是受不了这眼神了吗\n卡莉奥斯特萝叹了口气。
154,用快要哭泣的眼睛\n看着卡莉奥斯特萝的克拉莉丝。
153,呜呜……虽然确实是那样……\n但是、突然\n两个人独处也太……
152,而且、用这个理由的话\n不是就能问出姬塔喜欢\n什么样的巧克力了吗？
151,你可真是ヘ蠢啊……\n赶紧给我练习到\n两个人独处也能保持平静的程度。
150,这可是为了创造好气氛\n和两个人面对面送巧克力的时候的练习\n一石二鸟作战计划！
149,噶ーっ！\n你、真的够了噢？
148,为什么要两个人一起去！？\n和大家一起去不就好了吗！
147,等、等、等一下！
146,像这样说、\n轻易地就会陪你出去了。
145,姬塔嘛。\n巧克力的材料不够的\n想要你陪我出去买嘛☆
144,你现在给我去和姬塔两个人\n出去买巧克力的材料。
143,喂、克拉莉丝、这是师父命令。
142,啊、那个、师父ー？\n总感觉、你的表情非常\n邪恶啊……
141,库库库……对啊。\n这样就行了……
140,……不、等一下。
139,但是、这样的话……
138,真是的……你蠢也要有个限度吧。\n情报可是最重要的武器。
137,<span class='scene-font-4'>等、等一下！　师父ー！</span>\n对不起！　对不起啦！
136,……乌洛博洛斯、开饭的时间到了。\n把这个笨蛋吃掉也可以噢。
133,……诶嘿嘿☆
132,…………
131,诶、那个、那个我记得是……
130,诶……\n姬塔喜欢什么巧克力？
129,那么克拉莉丝。\n你知道姬塔\n喜欢什么口味的巧克力吗？
128,接下来是做巧克力。\n既然是情人节、\n所以肯定要限定在送巧克力上。
123,呜呜……哦、噢ー！
122,好☆\n那就、\n继续吧ーっ☆
121,算你及格……吧。\n算了、就这样吧。
120,哈……哈啊……\n师、师父ー\n这样……行吗？
115,就这样克拉莉丝红着脸\n用快哭出来的表情\n努力的向人偶送巧克力。
114,知、知道了……！\n我会加油的！
113,但是姬塔和人偶不一样\n只有一个。\n如果被人抢先了……
112,……！？
111,你在这害怕也行……\n但是在这个团里、\n除了你以外可还有怀抱着同样想法的人在哦。
110,呜呜、就算你这么说……
109,真是的……\n练习都这个样子、\n当天要变成什么样啊。
108,克拉莉丝发出叫声\n从这里逃开了。
107,不行！　果然不行！\n这么羞耻的话\n怎么说得出口嘛！
106,唔噶ーっ！
105,唔……唔唔……
104,关系……更好……
103,────
101,比之前、\n关系更好……
100,那、那个……我、\n想和姬塔……\n和姬塔……
99,────
97,啊、那个、姬塔。\n我、为姬塔\n做了巧克力……所以……
96,嘶ー……哈ー……
95,克拉莉丝一脸为难的转向姬塔的人偶。
94,呜呜……好粗暴ー！
93,吵死了！　这是师父的命令！\n不要再啰嗦了\n快点给我做！
92,这、这个……\n这样的、\n对我来说有点太羞耻了……
91,话说回来、\n我真的……要这么做？
90,不需要冷静。\n恋和爱这些东西、\n本就是头脑发热的东西。
89,唔哇……\n冷静下来一看、\n先祖大人是这样（的人）有点……
88,嗯、嘛、就这样的感觉。
86,所以、希望你能把巧克力连同\n卡莉奥斯特萝的想法一起收下……！\n如果能收下的话、我很开心──
85,────
83,那个……卡莉奥斯特萝、\n想要和姬塔\n变得关系更好……
82,────
80,那、那个、卡莉奥斯特萝、\n为姬塔\n做了、巧克力……
79,卡莉奥斯特萝用像在祈祷一样的姿势把双手放在胸前\n面色微红、\n从下往上看着人偶。
78,那么首先、\n本大爷给你示范一下。\n好好看着哦？
77,呜呜、跟本人简直一模一样……
76,克拉莉丝用不知如何是好的表情\n看着这个姬塔模样的人偶。
74,呜、虽、虽然是这样没错！\n干劲……也是有的……\n但是……
73,我都说了、这样跟正式很接近\n才能称得上是练习。\n你到底有没有干劲？
72,但、但是、就算是这样\n不是姬塔的模样也行吧……
71,果然像这样、\n眼前有个容易想象的对象\n练习才会容易进步吧？
70,是什么……看一下就明白了吧。\n用炼金术做的\n姬塔等身大人偶。
69,等、师、师父！\n这是什么！
68,诶？　诶？
67,嘛、就这样吧……
66,────
60,首先、\n用炼金术准备一个练习台☆
59,那么、\n从如何送巧克力开始哦☆
58,唔……哦、噢ー！
57,卡莉奥斯特萝老师的\n连黑他累都能看懂的情人节讲座☆\n开始了ー☆
55,──所以。
50,就像仍旧疼爱\n那哪儿都不成器的弟子、\n卡莉奥斯特萝静静地笑着。
49,（嘛、差不多看够了\n你这暧昧不清的样子\n才是最大的理由就是了）
48,只是稍微有了点兴趣。\n毕竟、\n看见了自己的弟子这么努力。
47,克拉莉丝向着卡莉奥斯特萝、\n投去了疑惑的眼神。
46,姆……\n师父、你在打什么主意？
45,克拉莉丝。\n这个战斗、\n本大爷也来帮你一把吧。
44,库库库……原来如此。\n是不能输的战斗呢。
43,决定了要向姬塔\n好好传达我真正的想法。
42,所以、我、\n这次的情人节\n想好好努力一下……
41,但是如果一直这样、\n这份感情就无法实现了……
40,但是、那个……\n总是在关键的地方无法鼓起勇气说出来……
39,那个……我、\n其实一直都在给姬塔送巧克力。
38,不过、看你这个样子……\n终于打算挑明了么。
37,诶……\n我果然没什么事能瞒得住师父。
36,啊呜呜呜呜……
35,没有察觉到的、也就姬塔和露莉亚之类的吧。
34,只要看看平时的你、\n对姬塔是什么想法\n根本一目了然。
33,听到卡莉奥斯特萝这么说的瞬间、\n克拉莉丝脸变得通红、\n开始惊慌失措。
32,师、师傅\n你为什么知道！？\n我是要送给姬塔！
31,！　！？\n诶！　什！？\n呃啊啊啊啊！！
28,啊啊、巧克力啊……\n是准备给姬塔的吗？
27,你一脸正经的。\n到底在做什么──
22,那之后、和作为妹妹子孙的克拉莉丝、几经周折\n两人结成了师徒。
16,自己炼成了自己的身体、\n活了数千年的\n炼金术鼻祖、卡莉奥斯特萝。
9,传来声音的方向站着\n用奇妙的表情打量着\n克拉丽丝的卡莉奥斯特萝。
8,啊、师父ー
7,嗯、这不是克拉莉丝吗？？
4,不，\n我一定要做出能收到以后会觉得高兴的巧克力……
3,收到我送的巧克力，\n会高兴吗……
2,临近情人节的某一天，\n克拉丽丝用认真的表情\n在厨房准备着。
0-chapter_name,克拉丽丝的思念
