id,trans
filename,scene_chr618_q1_s10
info,scene_chr618_q1_s10
125,アイリスは「ペンギー２号」を\n開発して、オッチャンの後を継いで\nペンギーとなった──
124,それから10年近くの時が経ち──
118,ボクはっ……！\nボクは、何もできなかった……！
117,アイリスは部屋に閉じこもり、\n声が枯れるまで泣き叫んだ。
111,オッチャンは、人々を守って\n死んでしまった。
110,でも……オッチャンは……
109,おかげで奇跡的に空艇は大破せず、\n空艇の乗員も、街の人々も、\n怪我ひとつ負わなかった。
108,空艇の乗員によれば、\n墜落間際にペンギーが砲撃を\n逆噴射して衝撃を相殺したという。
107,そして、空艇は森へと墜落した。
97,あの時……\nボクは見ている事しかできなくて……
96,オッチャンは、\n街に向かって落ちていく空艇を、\n近くの森まで導こうとしてた……
95,そして、制御を失った空艇の先端には、\nオッチャンが変身したペンギーがいる。
94,必死で祈るアイリスが\n見つめる先には、黒煙を上げながら\n落下していく空艇があった。
93,この記憶は……\n10年前の……
92,おねがい……！\nオッチャン、無事でいて……！
91,場所と時間が移り変わると、\n空はどんよりと暗い灰色だった。
84,今のペンギーと同様に、\n全空を駆け回って\n人々を助ける人気者だった。
83,アイリスの育ての親である\nオッチャンこそが\n初代ペンギーであり……
82,えへへ……\nくすぐったいよぅ……☆
81,うん、史上最高の着装だっ！\nだから、史上最高のナデナデをするぞ！
80,超☆絶☆着装っ！\nみんなのヒーロー、ペンギーだよっ☆
70,アイリス……お前は天才だな！\nそして優しくてかわいくて、\n超☆かわいい！
69,これ、オッチャンが使って！\nボクは応援をがんばるからさ！
68,でしょっ！\nペンギーごっこの成果なんだよ☆
67,おお……！\nめちゃくちゃカッコいいじゃねぇか！
66,どうどう！？\nペンギーの変身ポーズ、\n考えてみたんだぁ！
65,超☆絶☆着装！\nみんなのヒーロー、ペンギーだよっ☆
60,ん……？
59,あっ、でもその前に……\nちょっと見てて！
58,待ってましたぁ☆\nペンギーに変身だね！
57,さてと……\nそろそろパトロールに行くとするか。
56,勇気の、カタマリ……
55,オレはコイツを……\nなんとしても完成させる！
54,だがな、アイリス。\nでっかいペンギーは、\nみんなの勇気のカタマリなんだ！
53,ははっ、チビペンかぁ！\nそれもいいかもしれないな！
52,そんなに！？\nボク、ペンギーはチビっこい方が\nかわいいと思うケドな～
51,ペンギー本体を中心にして、\nバラバラのパーツが組み合わさって、\n家より大きくなるんだぞ！
50,おっ、よくわかったな！\n機構にメドが立ってきたんだ。
49,あ、これ……！\n例のおっきなペンギーに使うパーツ？
48,記憶の中のアイリスは、\nオッチャンが床に落としてしまった\n機械部品を拾っていた。
47,オッチャンは……\n「アイリスは天から降りてきた」って、\nいつも言ってたっけ……
46,「アイリス」とはオッチャンが\nペンギーに授けた名前だが、\n彼は血の繋がった父親ではない。
45,物心ついた時から、\nペンギーはオッチャンとふたりで\n機械に囲まれて暮らしていた。
44,在りし日の光景を前にして、\nペンギーは自分が\n過去を夢に見ていると悟る。
43,ここって……\n昔、ボクが暮らしてたおうち……？
42,まったく、オッチャンってば\nこわがりさんなんだから……
41,もう、びっくりしすぎだよぅ！\nうちにはボクしかいないのにさ！
40,なんだ、アイリスか……\nああ、部品が色々散らばって……
38,うひゃあっ！？
37,ねぇ、オッチャン！\n今日は何を造ってるの？
30,だが、意識が戻りはじめると、\n朦朧とする中で、ある光景が見え──
29,ペンギーは薄暗い一室で\n捕らわれており、\nぐったりと気を失っていた。
28,東海テイオー達がペンギーを\n捜索している頃──
22,10年前……\n命と引き換えにこの街を守った、\n初代ペンギーの事を──
21,もしかして、あんた達……\n知らないのか？
20,<span class='scene-font-4'>10年前だって！？</span>\nおいおい、ペンギーって\n一体いくつなんだよ……？
19,ええ……\n忘れもしない10年前にね。\nあの像が建ったのはその後よ。
18,ペンギーちゃんは、\n前にもこの街に来た事が\nあったんですか？
17,そういえば、あの像……\nずっと気になっていたんです。
16,彼が勢いよく指をさしたのは、\n広場に建つペンギーの像だった。
15,ここで逃げ出しちゃあ、\nアイツに合わせる顔がねぇよ！
14,<span class='scene-font-4'>バカ言っちゃいけねぇ！</span>\nペンギーはオレ達の恩人なんだぜ！？
13,オイラ達の本業は騎空士なんだ。\nだから、ここはオイラ達に任せて──
12,気持ちはありがたいけどよ……\nここまでやってんだ、\nあの男は本気で街を壊す気だぜ？
11,周囲を見てみると、\n街の住民達は助けあいながら\nペンギーを捜索しているようだった。
10,私達もペンギーちゃんを探すわ！\n人手は多い方がいいでしょう？
9,いやいや……\nそれは聞けねぇ相談だな、\nペンギーのアシスタントさん達よ！
6,ねぇ東海テイオー、\n街のみなさんには、\nすぐに避難をお願いした方が──
5,それに、街の事も心配です。\nあの男の人は街を壊すって……
4,ペンギーちゃん、\n大丈夫でしょうか……
3,クソッ、あのヤロウ、\nペンギーをさらって何がしたいんだ？
2,東海テイオー達は必死で\nペンギーの捜索にあたるが、\n手掛かりはなく難航していた。
1,ヒーローショーの最中に\n現れた男に機械兵を乗っ取られ、\n連れ去られてしまったペンギー
0-synopsis,ペンギーを探す東海テイオー達のもとに、街の住民達が協力を申し出てくる。この街は10年前、初代ペンギーに救われたのだという。今のペンギー……アイリスの育ての親である男、オッチャンは全空で人々を助ける初代ペンギーだった。そして10年前、オッチャンは身体を張ってこの街に墜落しかけた空挺を近くの森まで誘導し、空挺の乗員と街の人々を守り命を落としたのだった。
0-chapter_name,強い機体に、弱い心
