id,trans
filename,scene_chr626_q3_s30
info,scene_chr626_q3_s30
113,この先もふたりは様々なことを\n経験して、互いの信頼を深めては\n強い絆を結んでいくのだろう。
112,柔らかな月明かりの下、\nアニラと東海テイオーは\n静かに微笑み合う。
111,くふふふっ！\nこれからもそなたと一緒に\nたくさん思い出を作っていきたいのう。
109-sel1_txt,こちらこそありがとう
109,あの時、\n我を旅に連れ出してくれて\nありがとう。
108,東海テイオー殿、\nあの時、我と出会ってくれて\nありがとう。
107,これでまたひとつ、\n我と東海テイオー殿の\n初めての経験が増えたのう。
106,ふと、アニラは改まった様子で\n東海テイオーに向き直る。
105,手をつないだふたりは、\n静かに凪いだ夜の海に浮かぶ。
104,こ、怖いわけではないぞ？\n離れると危ないからな。
103,こっちじゃ、東海テイオー殿。\n我の手を握ってくれ。
102,あっ……入ってしまえば\n海の中は意外と温かいんじゃな。
97,そうしてアニラと東海テイオーは、\n誰もいない夜の海に入っていく。
96,アニラの誘いを受けて\n力強く頷く東海テイオー。
95,うむ……海が真っ黒で\n少し怖じ気づいておるが、\n一緒に入ってくれるかの？
94,先ほど言った願いというのは、\n実は夜の海で泳いでみること\nなのじゃが……
93,こうして見ると、夜の海は\n昼間と違って静かじゃのう。
92,そう言って、アニラは\n東海テイオーを夜の浜辺に\n誘い出した。
86,ありがとう。\nでは、我と共に\n少し外に出てくれるか？
85,アニラの願いの詳細を聞く前に\n頷いて承諾する東海テイオー。
84,実は、最後に一つだけ\nお願いがあるのじゃが、\n聞いてくれるか？
83,我は、そなたと一緒に\n様々なことを経験するのが\n楽しくて仕方なくてな。
82,そうか……相変わらず\n東海テイオー殿は優しいのう。
81,自分も楽しかったから\n問題ないと答える東海テイオー。
80,今日は、\n一日中連れ回して申し訳なかった……
79,しかし、皆も遊び疲れたのか\nいつの間にかぐっすりと\n眠っていたようじゃな。
78,今後は、\n寝顔を無闇にさらさぬよう\n気をつけるとするか。
77,乙女の矜持を守るとは、\nさすが東海テイオー殿じゃな！
75,う……うぅ……恥ずかしい！\n乙女としてあるまじき失態じゃ！
73-sel2_txt,見てない見てない！
73-sel1_txt,見ちゃった……
73,と……ところで、\nいぎたない我の寝顔を\n見てはおらぬじゃろうな？
71,ふあぁぁ……ん？\n東海テイオー殿も今起きたのか。
70,そのまま寝顔を眺めていると\nアニラが目を覚ました。
69,くふふ……もう……\nお腹いっぱいじゃ……
68,う……う～ん……\nむにゃむにゃ……
67,東海テイオーが目を覚ますと\n目と鼻の先にアニラの寝顔があった。
66,すぅ……すぅ……\nすぅ……すぅ……
63,いつしかすっかり雨もあがり、\n穏やかな虫の音が聞こえている。
58,だが、疲れがたまっていたのか\nいつの間にか睡魔に襲われた一行は、\n気づくと全員が眠りこけていた。
57,外では雨が降り続く中、\n東海テイオーたちは時間も忘れて\nテーブルゲームに興じる。
56,望むところじゃ！\nでは片っ端から遊び倒すとするかの～！
55,オイラはこっちのヤツが気になるな～！
54,……あ！\n私これやってみたかったんです！
53,今夜はまだまだ寝かせんぞ～！
52,アニラが一行の前に出したのは、\n大量のテーブルゲームであった。
51,じゃじゃじゃじゃーん！　じゃ！
50,おいおい……\nなんだその怪しい笑顔は？
49,くっふっふっふっ……
48,しばらくして、後ろ手に何かを\n隠し持ったアニラが現れた。
43,東海テイオーたちがお茶とお菓子を\n堪能していると、何かを思い出した\n様子のアニラがその場を立ち去る。
42,よいよい！\nひとりよりも皆で味わった方が\nより美味しく感じるものじゃ！
41,大事なもんなのに、\nオイラたちに振る舞ってくれて\nありがとな！
40,お茶菓子には、\n輪投げの景品の水羊羹を\n用意してきました！
39,我の秘蔵の茶葉で淹れたから、\n味わってくれると嬉しいのう！
37,しばらくして、お茶とお茶菓子を\n持ったアニラとルリアが戻って来る。
31,おお！　では頼む！
30,あっ！　私も手伝います！
29,体が冷えてはいかんからな、\n我が温かいお茶でも淹れるとしよう。
24,一行は、アニラが用意した\nふかふかのタオルで体を拭いて乾かす。
23,ほれ……\nこれで体を拭くとよい。
22,やれやれ……\n水着だからよかったものの、\nすっかり濡れてしまったな。
21,雨に降られた一行が戻ってきたのは、\nその日止まる予定の宿であった。
15,うひゃあ！\n我らも退散するか！
14,突然、辺り一帯には土砂降りの雨が\n降り注ぎ、その場にいた人々は皆\n足早に帰って行った。
13,ん……\nなんか雨が降ってきてねぇか？
11,さて……これでもう安心じゃろう。
10,ルリア！　無事でよかった！
9,ふたりとも、\nとってもカッコよかったです！
8,その場にいた人々は皆、\nふたりに向かって\n賞賛の拍手を送った。
7,東海テイオーとの息の合った連携で\n見事、カキフライを退治するアニラ。
6,…………！
1,はぁぁぁぁぁっ！
0-synopsis,カキフライを倒した東海テイオーとアニラ。しかしその後すぐ大雨が降りだしたため一行は宿へ戻り、疲れからいつの間にか眠ってしまう。やがて東海テイオーが目を覚ますと、外の雨はあがっていた。同じく目を覚ましたアニラは東海テイオーを夜の浜辺に誘い出し、ふたりで夜の海に入る。こうしてアニラと東海テイオーはまたひとつ思い出を作り、互いの信頼を深めるのだった。
0-chapter_name,エンドレスサマーバケーション
