id,trans
filename,scene_chr626_q3_s20
info,scene_chr626_q3_s20
45,アニラと東海テイオーは\n人混みをかき分けて\nカキフライの元へ駆けつける。
44,東海テイオー殿！\n我らでカキフライを追い払うぞ！
43,おのれ……\n皆の憩いの時間を邪魔するとは、\n無粋な輩じゃのう！
42,突如、ダンスイベントの\n会場に現れるカキフライ。
41,────！
40,東海テイオーが何か言葉を\n発しようと思った瞬間、\n辺りから悲鳴が上がる。
39,そ、そんな噂があったとは\nつゆ知らず……
38,ふたりの話を偶然聞いた\nアニラと東海テイオーは\n思わず見つめ合う。
37,へぇ～知らねぇけど、\nじゃあ俺達も永遠の絆で\n結ばれるってことじゃん？
36,ねぇ、ダーリン知ってる？\nダンスを一緒に踊りながら光華を見た\nカップルは永遠の絆で結ばれるって？
35,ふたりの隣では、\n先ほど肝試しの会場にいたカップルが\n光華を見上げていた。
34,ああ、きれいじゃのう……
33-sel1_txt,きれいだね
33,夜空に咲き誇る色とりどりの光華を、\n並んで見上げるアニラと東海テイオー。
29,あ……
26,その時、不意に音楽が鳴り止むと\n周囲の人々が一斉に空を見上げる。
25,不思議な高揚感と一体感に包まれた\nアニラと東海テイオーは、\n互いの手を握って微笑み合う。
24,くふふふっ！\nなんだか楽しいのう～！
23,東海テイオーたちは、思い思いの\nダンスを燃えさかる炎と音楽に\n合わせて延々と踊り続けた。
17,それがいいな！\nんじゃオイラたちも踊ろうぜ！
16,ここで楽しい気持ちになって、\n肝試しのことは忘れてもらいましょう。
15,肝試しの直後は\n険しい顔してたもんな……
14,ふふっ、アニラさんに\n笑顔が戻ってよかったです！
13,じゃ！
12,いち、にの、さーんで、\nぐるぐるぽーず……
11,みーぎ、ひだり……\nみーぎ、ひだり……\n進んで進んで、一歩下がる～
6,アニラは東海テイオーの手を引いて\n人々が踊る輪の中へと入って行く。
5,東海テイオー殿！\n我らも参加してみるぞ！
4,ほほう……なにやら賑やかで\n面白そうな催しじゃのう！
3,広場では、大きなたき火を囲みながら\n音楽に合わせてダンスを踊る\nイベントが行われていた。
2,肝試しから戻った一行は、\nお祭りの屋台が並ぶ街路を\n抜けた先にある広場を訪れる。
0-synopsis,肝試しを終えた一行は、広場で行われていたダンスを踊るイベントに参加する。燃え盛る炎を囲んで楽しく踊り、打ちあがった光華に見とれるアニラと東海テイオー。しかし、そこに突如カキフライが現れる。東海テイオーとアニラは急ぎカキフライの元へ駆けつけると、カキフライを追い払う。
0-chapter_name,エンドレスサマーバケーション
