id,trans
filename,scene_chr626_q1_s10
info,scene_chr626_q1_s10
110,こうしてアニラたちは、\n夏祭りの屋台を思う存分\n満喫するのだった。
109,東海テイオーは、\n皆のリクエストに応えて\n次々輪投げの景品を取っていく。
108,あっ！\nオイラにも何か取ってくれよ！
107,ねぇ東海テイオー！\n次はあの景品を狙いませんか？
106,へへへっ！　\n子供みたいにはしゃいでるな！
105,……はっ！\n我としたことがはしたない！
104,喜びのあまり人前であることを忘れて、\n東海テイオーに抱きつくアニラ。
103,こ、これを我にくれるのか！\nありがとう東海テイオー殿！
102,東海テイオーは手にした景品を、\nアニラにプレゼントする。
101,さすがは東海テイオー殿！\nそなたは輪投げも得意なんじゃな！
100,感覚を忘れないうちに次の狙いを定めて\nもふもふ羊のぬいぐるみセットも\n手に入れる東海テイオー。
99,な……なんと……！\n羊屋の限定水羊羹詰め合わせ\nセットじゃと～！
98,東海テイオーが正面から投げた輪は、\nお目当ての景品の手前でバウンドして\n跳ねる軌道で棒に引っかかった。
95,感覚を忘れないうちに次の狙いを定めて\n羊屋の限定水羊羹詰め合わせセットも\n手に入れる東海テイオー。
94,あ……ああ……！\nもふもふ羊のぬいぐるみセットじゃ～！
93,東海テイオーが横向きに投げた輪は、\n綺麗な放物線を描きながら\nお目当ての景品の棒に吸い込まれた。
90-sel2_txt,絶技……正面投げじゃ！
90-sel1_txt,秘技……横投げじゃ！
90,深呼吸をして精神統一を済ませた\n東海テイオーが、アニラの前に\n進み出て、その手に輪を構えた。
89,おっ、東海テイオーも\nやる気みたいだぜ！
88,あのもふもふ羊のぬいぐるみセットか\n羊屋の限定水羊羹詰め合わせセットを\n狙っておるんじゃが……
87,アニラさんは\nどの景品を狙ってるんですか？
86,うむむむむ～\nなかなか上手く棒に入らぬな～
85,ほいっ！　ほいっ！　ほーいっ！
84,食後の腹ごなしもかねて、\n東海テイオーたちは\n輪投げに挑戦することとなった。
83,そうこなくっちゃな！\n少し景品を取りやすくしとくよ～！
82,何やら面白そうじゃな！\n腹ごなしに挑戦してみるとするか！
81,お菓子にぬいぐるみに\n色んな景品がありますね～！
80,ほほう……\nこの輪っかを景品と対応する\n棒に投げ入れればいいのじゃな？
79,いらっしゃいお嬢ちゃんたち！\n輪でも投げとかない？
78,かき氷を食べ終えた一行は、\n輪投げ屋の屋台の前に通りかかる。
72,んん～！\nそなたのかき氷も美味じゃのう～！
71,アニラの口の中へ、\nかき氷の乗ったスプーンを\n運ぶ東海テイオー。
70,し、信じておったぞ！\n東海テイオー殿！\nさぁ……我にもあーんじゃ！
69,静かに味わった東海テイオーは、\nかき氷を乗せたスプーンを差し出す。
68,ど、どうじゃ……？\n我との交渉は……
67,アニラの差し出したスプーンから\nかき氷をひと口味わう東海テイオー。
66,ほれ、あーんじゃ！\nあーん……！
65,はっ！\nでは我のかき氷を先に食べてから、\n改めて考え直してもらえるか？
64,ひどい落ち込みようのアニラを前に\n必死に笑いをこらえる東海テイオー。
63,がぁーんがぁーんがぁーん……！\nそ、即答で拒否されると傷つくのう……
61,では遠慮無くいただくぞ！\nそなたのよいと思った分量を\n我の口に放り込んでくれ！
60,くふふふっ！\n東海テイオー殿は優しいのう～！
58-sel2_txt,やだよ……
58-sel1_txt,いいよ！
58,東海テイオー殿！\n我もひと口……
57,あ！　私もひと口いいですか？
56,東海テイオー！\nオイラもひと口もらうぞ！
55,サクサクと冷ややかな食感のかき氷を\n味わいながらご満悦の東海テイオー。
54,はわわぁ～！\n食後にぴったりですね～！
53,ほああぁ～！\nひゃっこくて美味じゃのう～！
52,思い思いの味のかき氷を買い終えて\n夏祭り会場で食べ歩きをしている\n東海テイオーたち。
