id,trans
filename,scene_chr527_q3_s20
info,scene_chr527_q3_s20
112,それじゃ、ぱぱっと集めちゃおっか。
111,うん。たくさんあれば、\nみんなで分けられるしね。
110,ふふっ……そうだね、\n多めに採る分には\nいいんじゃないかな。
109,よーしっ！\nそれじゃ、張り切って\nドカーンとやっちゃうよっ☆
103,ああ。\n思いっきり、ドカーンとしてこい。
102,よし！\nそれじゃ、みんなと一緒に\n行ってくるね！
101,うぐ……\nそれは……確かにそうかも。
100,気分転換すりゃ、\nその煩悩に染まった頭も\n少しはスッキリするだろ。
99,一回、外で気分転換をしてこい。\nこのまま続けても、\n上手くいきそうにねぇからな。
98,え、ししょー？
97,いや、クラリス。\n一緒に行って来い。
96,でも、ごめんっ！\nうち、どうにもうまくいってなくて、\nもう少し色々作ってから……
95,ああ、なるほどね！
94,それに何より、予備があれば、\n何かあった時に慌てなくて\n済むでしょう？
93,忙しくて準備できない人も\nいるだろうし……
92,ううん、そうじゃなくて、\nみんなの分も含めて\n多めに集めておこうかなって。
91,チョコの素材なら\nうち、まだ余裕あるし、\nよければ分けるよ？
90,良かったら、\nクラリスちゃんも一緒にどうかな？
89,あのね、私達、\nこれからチョコの素材を集めに\n行こうと思うんだけど……
88,ん、どったの？\nみんな揃って……
87,ねぇ……クラリスちゃん。\n今、少しいいかな？
85,ううっ、どうしよう……\nこのままじゃ……
84,しかし、幾つチョコを作っても\n納得がいくものが出来ず、\nクラリスはみるみる落ち込んでしまう。
83,チョコの試作を繰り返すクラリス。
77,ったく……
76,うう……\nししょーの言う通りです。
75,大方、東海テイオーに\n渡すことばかり考えて、\n確認せずに入れたんだろ？
74,ったく、ちょっと目を離しただけで、\nこんな初歩的なミスをするとはな……
73,典型的な砂糖と塩の入れ間違えだな。
72,うっ……なにこれ……\nしょっぱい……
69,その言葉に首を傾げると\nクラリスもチョコを口へと運ぶ。
68,……お前も食ってみろ。
67,どう？　どう？\nクラリスちゃん特製チョコは……
66,…………
65,クラリスの言葉に頷くと\nカリオストロは固まる前のチョコを\n指で掬い、口へと運ぶ。
64,ん？　ああ、いいぜ。
63,ねぇ、ししょー\nちょっと味見してみて。
57,そうだな。\nその話は後でじっくり、\n聞かせてもらうとするか。
56,ほ、ほら！　今はそんな事より、\nチョコを作りなおさないと……
55,うっ……
54,ほぉ……そいつは中々、\n面白そうな話だな。
53,だから、その……\n東海テイオーの手の感触……\n思い出しちゃったじゃん。
52,ししょーが、\n人肌の暖かさなんて言うから……
51,うっ、ご、ごめん……
50,ったく、何やってんだよ……
49,飛び散ったチョコの熱さに\n驚いたクラリスは\nボウルを床へと落としてしまう。
48,熱っ！
46,おい馬鹿！\n力入れ過ぎだ！
45,真っ赤になったクラリスは\n雑念を振り払うように、\n湯煎したチョコを勢いよくかき混ぜる。
44,って……\n<span class='scene-font-4'>うち、なに考えてんのさっ！？</span>
42,（また、東海テイオーと手……\n繋ぎたいな……）
41,（人肌……\nそう言えば東海テイオーの手……\nあったかかったな……）
40,カリオストロの言葉に頷くと\nクラリスはゆっくりと\n湯煎したチョコをかき混ぜていく。
39,う、うん。\n人肌の温度になるまで、\nかき混ぜながら冷ます……
38,そうすれば、口当たりの良い\n滑らかなチョコになる。
37,チョコが溶けたら、\n人肌の温度になるまで、\nゆっくりかき混ぜながら冷ますんだ。
31,う、うん！
30,っていうか、わかったなら、\nさっさとやり直せ！\n次だ！　次！
29,それにバレンタインの必需品である\nチョコレートに詳しいのは、\n美少女としての当然の義務だ！
28,さ、流石、ししょー……
27,あのなぁ……\n錬金術師が物質の状態変化やら性質に\n詳しくないわけないだろうが。
26,ってか、ししょーどうして\nそんなに詳しいわけ？
25,へぇ……そうなんだ……
24,それに温度差で\nボウル内に水滴ができて\n出来上がりが悪くなる。
23,熱々の湯で湯煎すると\nチョコの風味が飛んじまうんだ。
22,え、そうなの？\n熱い方がすぐに溶けていいと\n思うんだけど……
21,湯煎はな、\n人肌より少し熱いくらいの湯で\nゆっくり時間をかけてやるんだよ。
20,<span class='scene-font-4'>いった！？</span>\nししょー、なんで叩くの！？
18,湯煎の温度が高い！
17,ボウルにチョコを入れると\nクラリスは熱湯で湯煎を始める。
16,えっと……\nまずはチョコを湯煎して……と。
10,ナルメアの言葉に頷くと\nクラリスはチョコレートの試作に\n取り掛かるのだった。
9,ふふっ、そっか。\nじゃあ、お互いに頑張ろうね。
8,オレ様はクラリスの監督だな。
7,うん。\nうちも本番の前に、\n練習しておきたくてさ。
6,ここに来たってことは、\nクラリスちゃんとカリオストロちゃんも\nチョコレートを？
5,私もいつもとはちょっと違う、\n新しいお菓子を作りたくて……
4,うん、バレンタインに向けて\nチョコレートを\n試しに作ってるんだ。
3,どしたの、みんな？\nこの甘い匂いって……
2,すると厨房ではナルメア、ティナ、\nメリッサベルがそれぞれ、\n懸命に何かを調理していた。
1,東海テイオー達と買い物を終えた後、\n厨房へと戻る\nクラリスとカリオストロ。
0-synopsis,クラリスは東海テイオー達と買い物を終えると、カリオストロの監督のもとチョコレート作りに励むが、東海テイオーへの想いが先行して上の空といった様子で、失敗が続く。落ち込むクラリスにティナがチョコレートの素材を集めに行かないかと声をかけ、カリオストロも気分転換も兼ねて行ってこいと勧める。クラリスはティナ、メリッサベル、ナルメアと共に素材を集めるのだった。
0-chapter_name,うち、頑張ります！
