id,trans
filename,scene_chr618_q2_s10
info,scene_chr618_q2_s10
138,そして、それぞれの戦場へと\n駆けていくのだった。
137,機械兵を止めるべく、\n東海テイオー達とペンギーは\n僅かな時間で方策を練る。
136,ああ……だからこそ、\nオイラ達も一緒に戦うんだ！
135,戦えるのはボクしかいない！\nでも、今のペンギーじゃ……
134,ビッグちゃんの動きは、\nボクが一番わかってる！
133,ペンギーちゃん……！
132,みんなのヒーロー、ペンギーだよ☆
126,超☆絶☆着装ぅ☆
125,そして、身体に染み着いた動きで、\n共に戦う相棒を起動させた。
124,ペンギーは目に爛々と光を宿らせ、\n跳ねるように立ち上がる。
123,ペンギーがしてきたことは、\nムダなんかじゃなかったんだ！
122,そっか……\nそうだったんだ……！
121,ペンギーの活躍は皆に勇気を与え……\nそして今、巡った勇気の炎が\nペンギーの心をも照らしていた。
120,もちろん自分もだと、\n東海テイオーは胸を張る。
119,…………！
118-sel1_txt,みんなペンギーの力になりたいんだ
118,ヒーローショーだって、\nペンギーちゃんは\nそうやって戦ってたよ！
117,そうだよっ！\nみんなで戦ったら、\n負けるはずないもん！
116,大丈夫です！\n今度は一緒に戦いましょう！
115,で、でも……\nボクはみんなの前で、\nアイツにボロ負けして……
114,ヒーロー失格だなんて、\n思ってるわけがねぇぜ！\nもちろん、オイラ達もな！
113,避難誘導しようとしても、\n「ペンギーと一緒に戦う」ってよ、\nちっとも聞く耳を持たなくてさ。
112,なぁ、ペンギー\n外じゃ街のヤツらがお前の事を\n必死で捜してるんだぜ？
111,ボクに……勇気を……？
110,だから、今度はわたしがあげる番！
109,わたしね、\nお姉ちゃん……ペンギーちゃんから、\nたくさん勇気をもらったもん。
108,ほら、ペンギーごっこ！\nペンギーちゃん役は、\nお姉ちゃんがやっていいよ？
107,ガ、ガール……？
106,わたしは怪獣だぞ～！\nすっごくこわいんだぞ～！
105,が、がおーっ！
104,そのまま、重苦しい沈黙が\n辺りを支配し始め──
103,ペンギーは顔を上げる事もできず、\nただ唇を噛みしめる。
102,ペンギー……
101,ボクは、みんなを守れてない……\nヒーロー失格だよ……！
100,ボクのせいで、\nみんなが巻き込まれて、\n危ない目にあって……
99,だって……\nあの男の狙いは、ボクだったんだ！
98,ペンギーちゃん……？\nどうして謝るんですか……？
97,みんな……ごめんね……
96,檻の扉は開かれたが、\nペンギーはまだ立ち上がれない。
95,…………
94,やっぱり、お姉ちゃんが\nペンギーちゃんだったんだね！\nそうだといいなって思ってたんだぁ。
93,だから、勇気を出して、\n東海テイオーさん達に声をかけたの！
92,わ、わたし、落ち込んだら\nひとりで隠れたりするから……\n人が来ないところいっぱい知ってて……
91,このガキンチョが、\nオイラ達に声を掛けてきたんだ。\nペンギーの居所がわかるかもって……
90,東海テイオー達も！？\nどうして……！？
86,大丈夫ですか！？\n今、ここを開けますから……！
85,キ、キミは……\n昨日のガール……！？
84,ペンギーちゃん！\n助けに来たよっ！
82,その時、薄暗い部屋の扉が\n勢いよく開かれる。
80,何もできない無力感の中、\nペンギーの頭の中は\n男の言葉の残響に支配されていた。
79,ボクは……ボクはっ……
78,今まで、ボクがしてきたのは……\nぜんぶムダなことだったの？
77,…………
76,全身の力が抜けていき、\nペンギーは座り込んでしまう。
75,ちがう……ボクはただ……\nオッチャンと同じように、\nみんなを助けたくて……！
72,他者を救えば、罪滅ぼしに\nなるとでも思っていたか？
71,お前が知らない場所で、\nこうして街が滅んだり、\n人々が絶望したりしている。
68,どうしよう……！\nこのままじゃ街が……！
67,男は哄笑を上げながら、\n機械兵に乗り込んで去っていく。
64,戯れたければ好きにしろ。\nそのザマもなかなか愉快だからな！
63,特等席だと言っただろ？\nペンギーのあらゆる攻撃を\n無効化するように設計してある。
62,そんなっ……！
61,ペンギーは隙をついて\n格子越しに銃撃するが、\n見えない壁にはじかれてしまう。
58,キミの好きになんてさせない！
57,お前はそのまま、\n街が壊れるのを眺めていろ。\nお前が今までしてきたように……
56,自動操縦では限界がある。\n俺の手で、塵ひとつ残さぬよう\n徹底的に破壊してやろう。
55,フィナーレだ。
54,その時、窓の前で機械兵が停止し、\n頭部の操縦席が\n男を迎えるように開いた。
53,────！
51,ち、違うよ……ボクは……！
50,他者を救えば、罪滅ぼしに\nなるとでも思っていたか？
49,フン……\n心当たりがあるようだな。
46,ボクはっ……！\nボクは、何もできなかった……！
43,おねがい……！\nオッチャン、無事でいて……！
40,…………っ！
39,男がせせら笑う間にも、\n目の前で家屋が、塔が、生活が、\n次々に壊されていく。
38,では、すべてを救えると？
37,そんなことっ……！\nボクもオッチャンも、\n思い上がってなんか──
36,<span class='scene-font-4'>問題外だ！</span>\n思い上がりも甚だしい！
35,にも関わらず……\nお前は目の前の人間を助けただけで、\nすべてを救ったような顔をする……
34,お前が知らない場所で、\nこうして街が滅んだり、\n人々が絶望したりしている。
33,いいか？\nこれはお前が目を背けてきた景色だ。
32,窓の外では機械兵が動き続け、\n街が瓦礫と化していく轟音が\n部屋まで届いていた。
31,（そんな……！\n狙いは最初からボクだったの……！？）
30,…………！
29,街を壊す事など手段にすぎない。
28,<span class='scene-font-4'>決まっている！</span>\nお前が最も絶望した顔を見るためだ。
27,<span class='scene-font-4'>質問に答えてないよっ！</span>\nどうしてこんなことするの！？
26,ああ、もちろん……\n無粋なセーフティは外させて貰ったよ。
25,ペンギーが守った街を、\nペンギーが作った機械兵が蹂躙する……\n素晴らしい見世物じゃないか！
24,ショーだと言っただろう？\n特等席で楽しんでくれ。
23,キミ……\nどうしてこんなことっ！？
22,ビッグちゃんに、\n街を壊させてるの……！？
10,────！
6,男はニヤリと笑うと、\n窓の外を指し示す。
5,お目覚めか……\nちょうどショーが\n中盤に入ったところだ。
4,鉄格子の向こうでは、\n機械兵に乗り込んでいた男が\n悠然と立っている。
3,目覚めたペンギーは、\n拘束こそされていなかったが、\n厳重な牢の中にいた。
2,ん……ここは……
0-synopsis,目覚めたペンギーは男によって牢に囚われていた。ペンギーに恨みがあるらしい男は、「すべてを救うことは不可能だ」とペンギーを絶望させるために乗っ取った機械兵で街を破壊していく。無力感に打ちひしがれるペンギー。そこに、昨日励ました少女と東海テイオー達が助けに現れる。ペンギーの活躍が人々に勇気を与えていたことを知ったペンギーは気力を取り戻し、戦いへ向かうのだった。
0-chapter_name,強い機体に、弱い心
