id,trans
filename,scene_chr622_q3_s20
info,scene_chr622_q3_s20
107,気は進まないけど……\nフォリア様、お覚悟を！
105,くっ……！\nどうしてこんなことに……
104,何を呆けておる？\nなぶり殺しの趣味はない。\nさっさと構えよ。これ以上は待たんぞ。
103,（この魔力……\n本気だ……！）
102,鬼気迫る言葉とともに、\nフォリアの体からほとばしる魔力は\n一層強さを増していく。
101,迷いのまま闇雲に力を振るい、\n皆の脅威となる前に\nここで討ち取らせてもらうぞ！
100,レオナよ、固めた覚悟が\nこうもやすやすと揺らぐとは、\n少々買い被っておったようじゃ……
99,え……あ……？\nそ、そんな……
98,は……\nいたずらに力を与えた責、\n果たすと致しましょう。
97,王を退いた身ではあるがな、\nハクタクが与えた力とあれば\n話は別じゃ。のう、ハクタク。
96,そのような危うい者を\n野放しにはしておけん。
95,…………！？
94,力の使い道を見失ったのじゃろ？\nそして己が何をしでかすか\nわからんのが怖いと。
93,<span class='scene-font-4'>っ！</span>\nフォリア様、一体何を……！？
92,言うや否や、フォリアとハクタクは\nレオナを見据えたまま、\n強力な魔力を解放する。
89,御意。
88,……ならば、\nその「よくないこと」が起こる前に\nひとつ手を打つとしよう。
87,ふむ……なるほどな。\n顔を拝みに来てやはり正解か。
86,このままじゃいけない気がするんです。\nいまのままじゃあ、\nきっとよくないことが起こるって……
85,でも、旅立ちを決めてから\n力の使い道が段々ぼやけ始めて……\n前まではっきり見えていたのに……
84,どんな犠牲を払ってでも、\n私にできることがあるなら何でもする。\nそんな気持ちでもらったものでした。
83,私は罪を償うために\nこの力を得ました。私にとって\nひとつのけじめだったんです。
82,……おそれながら。
81,ほれ見たことか。\n会いにきてやってよかったじゃろ。\nレオナよ、苦しゅうない、話してみよ。
80,……何か、お困りですか？
79,…………
76,（なのに旅の目的がなくて、\n力を使う意味も曖昧になってきてて、\nだから不安になってたんだ……）
75,（いままではイデルバのためっていう\nはっきりとした目的があったけど、\n旅に出たらそうはいかなくなる）
72,助かっては、いるんですけど……
71,はい。おかげさまで。
70,そのようじゃな。\n幽世の影響で狂暴化した魔物も\nあっさり倒したと聞いたぞ。
69,この力のお陰で軍務も捗りますし、\nいまのところ大きな問題はありません。
68,どこまでやったら倒れてしまうか、\nその限界も少しずつ\nわかってきたように思います。
67,何をしても痛くないっていうのには\nもうだいぶ慣れました。
66,レオナはほっと息をつくと、\n自分の近況を話し始めた。
65,力を預けた責任が\n私にはありますから。\nその後、お体はいかがですか？
64,優しいんですね。\n力をくれた時は敵でも味方でもないって\n言ってたのに。
63,……それは否定致しませんが。
62,ハクタクこそ\n力を授けたレオナの様子が気になると\n以前から言っておったではないか。
61,どうしてもと言って聞かれず。\n我が王のお戯れに\nお付き合いいただき、感謝致します。
60,全くです。\n市井に顔を出すべきではないと\n何度も申し上げたのですが……
59,お久しぶりです。\n思わぬところでお会いしましたね……
58,ご無沙汰しております、レオナ様。
57,弾むように歩くフォリアを追って\n街外れまで来ると、\nそこにはハクタクの姿もあった。
51,はぁ……\n陛下は相変わらずだな……
50,そう言うとフォリアは足音を立てずに\n窓から外へ出る。
49,ほれ、妾と来るのじゃ。\n夜空を仰ぎながら互いの近況でも\n語り合おうぞ。
48,いつも夜な夜な王宮をさまよっていた\nお主が何を言っておる？
47,え、なんで……\nというか、まだ真夜中ですよ。
46,そんなことよりいつまで寝ておる。\n外へ出るぞ。\nさっさと支度をせぃ。
45,うぅ……\n責任重大なことをさらっと言うなぁ……
44,ならば何ひとつ\n問題などないではないか！
43,そりゃあ、しませんけど……
42,しかし、ハクタクによる認知の阻害を\n突破できる者などそうはおらぬ。\nレオナも告げ口なぞはすまい？
41,いかにも、妾の所在が\n真王の耳に入ろうものなら\n大騒ぎにもなろう。
40,そ、そんなことのために\n御身を危険に晒してはいけません！
39,幼気な童のふりをして宿を聞き出し、\nお主の寝顔を\n見に来たというわけじゃ。
38,何かよい品はないかと街を回っていたら\n偶然、お主の隊が魔物討伐に来ていると\n噂を聞きつけての……
37,この街はナル・グランデでも\n有数の交易都市じゃ。\nとなれば買い物にはうってつけじゃろ？
36,そりゃあ驚きますよ。\nどうしてこんなところに\nいらっしゃるんですか？
35,やれやれ、\nまるで幽霊でも見たような\n驚きっぷりじゃの。
30,カインの機転により国外追放という形で\n真王の遣いの手から逃れ、現在は\n悠々自適に旅をしていたのだった。
25,一時は実の父親である真王のもとへ\n身柄を引き渡されそうになったが……
24,イデルバがレム王国と戦争した際に\n明らかにされた罪により、\n王の座を退いたフォリア。
14,えっ？\n<span class='scene-font-4'>……えぇぇっ！？</span>\n<span class='scene-font-4'>どうしてここに！？</span>
13,いかにも！　妾じゃ！\n久しいのぅ、レオナよ。
11,その声、もしかして\nフォリア様ですか……？
10,まったく……\n長く仕えていた相手に対して\n「誰？」とは失礼ではないかの。
9,<span class='scene-font-4'>って、誰っ！？</span>\nいつの間に……！？
7,んん……\nカイン、何……？\n起こすなら普通に声かけて……
6,つん……つんつん……
5,ほほぅ……\n珍しくよく眠っておるの。
4,その夜、遠征先の宿で\nレオナが眠っていると、\n様子を窺うように小さな影が差し込む。
3,…………
1,すぅ……すぅ……
0-synopsis,魔物を討伐したその夜、宿で寝ているレオナのもとをフォリアが訪ねてくる。力を与えたレオナのその後を気にするフォリアとハクタクに対し、レオナは力の使い道が曖昧になっていることを危惧していると伝える。するとフォリアとハクタクが突如臨戦態勢に入り、レオナが危険因子になる前に討ち取ろうと襲い掛かってくる。
0-chapter_name,女獅子の強さの理由
