id,trans
filename,scene_fate_chr626_ep1
info,scene_fate_chr626_ep1
161,ふたりは夕日が見えなくなるまでの\n黄昏時の絶景を惜しむように、\n身じろぎもせずに見つめ続けた。
160,水平線に沈みゆく夕日に照らされながら\n微笑み合うアニラと東海テイオー。
159,我もまだまだ遊び足りぬと\n思っておったところじゃ！
158,くふふふっ！\nもちろんじゃとも！
156,もうしばらくは、\nここで寛がせてもらうとするかの。
155,そうじゃな……\n少しはしゃぎすぎたかもしれん。
154-sel2_txt,まだ帰らないよね？
154-sel1_txt,少し疲れたね……
154,本当に、\n今日は楽しい一日じゃったのう。
153,東海テイオー殿……
152,次第に日も落ちてきて、\n夕焼け色に染まる海辺。
147,冷たいジュースを飲みながら\nぐったりしている東海テイオーたち。
146,バナナのおっさんの変なスイッチが\n入ったせいで散々な目にあったぜ～
145,はい～\nもう喉がカラカラだったので\n助かりました～
144,ふにゃぁぁ～\n冷たいジュースが\n全身に染み渡るようじゃのう～
143,その後、疲れた体を休めるために\n近くの海の家で休憩する一行。
138,こうして一行は、オヤジの過剰な\nサービス精神によって、心ゆくまで\nバナナボートを味わわされた。
137,ふっ、乗りなお前たち……\nまだまだ夏はこれからだぜ？
136,ずぶ濡れになった互いの姿を見て\n笑い合う東海テイオーたちであった。
135,思いっきり吹っ飛ばされたけど、\nなんか面白かったな！
134,飛んだり跳ねたりして\nびっくりしましたね～！
133,はぁ……はぁ……\nとうとう落ちてしまったのう～！
131,東海テイオーを助けようとしたアニラが\nバランスを崩したせいで、\n全員がバナナボートから海に落ちる。
129,危ない！　東海テイオー殿！
128,だが手を滑らせた\n東海テイオーが、\nついに体勢を崩してしまう。
127,右から左、左から右へと\n蛇行運転するバナナボートに\nしがみつく東海テイオーたち。
126,ぬわぁぁぁぁぁっ！\nきゃぁぁぁぁぁっ！\nうぎゃぁぁぁぁっ！
125,だが……\nこれならどうだっ！
124,この速さについてくるとは\nお前らタダもんじゃねぇな！
123,全速力で進むバナナボートに\n悲鳴をあげる東海テイオーたち。
122,なっ！\nなんじゃこりゃぁ～！
121,す、すごいはやさでっ！\nと、飛んだり跳ねたりしてますっ！
120,<span class='scene-font-4'>ぬぉぉぉぉぉぉっ！</span>\nいっ、いきなり全速力じゃ！
118,フルスロットルで飛ばしてくぜー！
113,こうして、東海テイオーが\n先頭に乗ったバナナボートは\n猛スピードで沖へと動き出した。
112,その意気やよし！\nお前の期待に応えられる\n最高の走りをみせるぜ！
111,おーおー！\nずいぶんとやる気じゃのう！
109,アニラを助けようとした東海テイオーが\nバランスを崩したせいで、\n全員がバナナボートから海に落ちる。
107,うわぁぁぁぁっ！\n東海テイオー殿～！
106,全速力で急カーブを曲がる\nバナナボートに体勢を崩す\n東海テイオーたち。
105,キャーッ！\nウヒャーッ！
103,まだまだこんなもんじゃねぇぞ！\nここからが真のバナナボートだっ！
102,風を切って進むバナナボートに\n歓声をあげる東海テイオーたち。
101,海の上を飛んでるみたいだな！
100,わーっ！　結構揺れますね！
99,くふふふっ！\n風が気持ちいいのうー！
97,まずはゆっくり慣らし運転だ……！
92,こうして、アニラが\n先頭に乗ったバナナボートは\n静かに沖へと動き出した。
91,へへっ、いい度胸だなお嬢ちゃん！\nんじゃ早速乗ってくれ！
90,うむ！　任せておけ！\n我が先陣を切ろうぞ！
88-sel2_txt,自分が先頭になる！
88-sel1_txt,アニラが先頭になる？
88,決まりだな！　それじゃ！\nどういう順番で乗るのか決めてくれ！
87,皆の期待を一身に受ける\n東海テイオーは、躊躇なく\n人数分の代金を支払う。
86,くふふっ、面白そうじゃのう～！\nさぁさぁどうする？　東海テイオー殿？
85,オイラはリンゴの方が嬉しいけど、\nバナナの方がボートっぽいもんな！
84,わぁ～！\nなんだか楽しそうですね！
83,バナナの形のボートに客を乗せて\n小型船で勢いよく引っ張る\nこの夏イチオシのクールな遊びだ！
82,バナナボートとは何じゃ？
81,お嬢ちゃん！\nバナナボートに興味を持つたぁ\nお目が高いねぇ！
80,バナナ？　ボート？
79,小型船の後を追いかける\n東海テイオーたちは、\n一軒の店の前にたどり着いた。
73,いよし！　東海テイオー殿！\n皆であやつの正体を確かめるぞ！
72,すげぇ速さでよくわからなかったな……
71,ん……\n今のは何じゃ？
70,東海テイオーたちがビーチボールで\n遊んでいると、何かを牽引しながら\n沖を走り抜ける小型船が目に入った。
69,ナイスカバーじゃっ！
68,……ンメエッ！
66,ンメエーッ！
64,ああっ！\n届きませんっ！
62,おっしゃあ！\nルリアにパスだぜ！
61,アニラからのパスを\n受けた東海テイオーは、\nボールをビィの方へ送る。
60,では我から行くぞ！\nほーれいっ！
55,そうして、アニラの羊たちも\n東海テイオーたちに混ざって\n遊ぶことになるのだった。
54,くふふっ！\n愛いヤツらよの～！\nでは皆で遊ぶとするか～！
53,ん……なに？\n我と共に遊びたいと？
52,ンメェェェェッ……？
51,くふふふっ！\nお主らも自由に\nバカンスを楽しむとよい！
50,ンメェェェェッ！
48,そう言うなり、アニラは\n羊たちを召喚する。
47,ん……そうじゃそうじゃ！\n大事なことを忘れておった！
46,日焼け止めを塗りおえた一行は、\n満を持して海水浴に臨む。
40,ってやめっ……やめてぇ！\nやめひぇくだしゃいっ……！
39,こっ……コラーッ！\n悪戯はやめるんじゃ！
38,そのまま東海テイオーに\n脇腹をくすぐられて\n悶絶するアニラ。
37,あははははあっ！　いひゃ……！\nいひゃひゃひゃあっ！　うはっ……\nうひひひひひゃあっ！　
36,いきなり触られて驚いたぞ！\nそなたの厚意は有り難いが\nせめて事前にひと言……
35,うひゃあッッ！\nな、何じゃ東海テイオー殿か！
34,アニラの背後に忍び寄る\n東海テイオーは、日焼け止めを\nつけた手をその背に伸ばした。
33,アニラの背中に満遍なく\n日焼け止めを塗るルリア。
32,おお！　助かったぞ！\nでは頼んでもよいかの～！
31,あっ！\nじゃあ私が塗りますよ！
30,すまぬが……\n誰か我の背中に日焼け止めを\n塗ってくれんかのう？
27,日焼け止めを全身に塗っていた\nアニラは、背中に手が届かずに\n困っている。
26,うむむむむ……
25,ぬりぬりぬりぬり～\n日焼け止め～\nぬりぬりぬりぬり……
24,事前の対策を怠ると\nお肌がピリピリして\n痛くなるんじゃったのう～！
23,くふふふっ……！\n我としたことが、浮かれすぎて\n日焼け止めを忘れておったぞ～！
21,ブンブンと手を振るアニラに、\n日焼け止めを塗りに戻るように\n声をかける東海テイオー。
20,おーい！　東海テイオー殿～！\nこっちじゃこっちじゃ～！
19,あれ？　アニラさん、\nまだ日焼け止めを塗ってないんじゃ……
18,ははっ！　見ろよ東海テイオー！\n飛び跳ねて大はしゃぎしてるぜ！
17,真夏の日差しを存分に浴びて\n浮かれきった水着姿のアニラは、\nアウギュステの海に向かって駆ける。
11,歳神のお役目を退いてから、\n東海テイオーたちと旅を続けて来た\n南南西の守護神、羊神アニラ。
5,<span class='scene-font-place'>アウギュステ</span>じゃ～！
4,海じゃ……
3,夏じゃ……
0-synopsis,ある日、アニラは東海テイオー一行と共に<span class='scene-font-place'>アウギュステ</span>を訪れる。水着姿となったアニラは、東海テイオーやルリアやビィとビーチバレーやバナナボートで存分に遊び、大はしゃぎする。夕方、海の家で休息をとるアニラと東海テイオーは、今日１日を振り返りながら、水平線に沈みゆく夕日を満足げに眺めるのだった。
0-chapter_name,アニラ・オン・ザ・ビーチ
