id,trans
filename,scene_chr527_q1_s10
info,scene_chr527_q1_s10
46,そして同時に、自らの想いの強さを\n改めて思い知るのだった。
45,クラリスはふたりきりという状況に\n戸惑いながらも、\nどこか楽しげな笑みを浮かべる。
44,（東海テイオーとふたりきりで\n買い物できるのは嬉しいんだけど……）
43,（こんな風になったのも\n全部、全部、ししょーが\nデートだなんて言うからだ……）
42,（ううっ、混乱してきたよ～……\n本当にどうしよう……）
41,（うちいつも東海テイオーと\nどんな話をしてたっけ？）
40,（えっと、何を話せば……って、\nあ、あれ？）
39,（ど、どうしよう……\nいきなり東海テイオーと\nふたりきりだなんて……）
38,東海テイオーは慌てるクラリスを\n不思議に思いながらも\nその言葉に頷く。
37,それより買い物！\n買い物行こっ！
36,と、とにかく気にしないで、\n東海テイオー！
35,って、ちがっ、\nホントそーいうのじゃなくって！
34,……この状況が\nデートみたいだなって、\n思っただけで……
33,ききき、気にしないで！\nこれクセで……！　あはは！
31,クラリスの言葉に頷くと、\n東海テイオーとクラリスは\nゆっくりと歩き出す。
30,……よしっ！\nそれじゃ、東海テイオー、\n買い物にいこっ☆
29,すー……はー……
28,クラリスは\n東海テイオーに背を向けると\n大きく深呼吸をする。
27,い、行くっ！\nで、でもちょっと待って！
25-sel2_txt,頭を抱えてどうしたの？
25-sel1_txt,買い物、いかないの？\n
25,ううっ、\nこ、これからどうしよう……
24,そして、クラリスは\n予期せぬ好機に頭を抱え、\n悩み始める。
23,そう言うとカリオストロは\nビィとルリアを連れて\nその場を離れていく。
21,くくく……気にすんな。\n今日は機嫌がいいんだろ。
20,おい、クラリスの奴、\nどうしたんだ？
19,それじゃ、行くぞ\nルリア、ビィ。
18,待って待って、ししょーっ！？
17,それと東海テイオーの好みを\n聞き出すこと……忘れんなよ？
16,存分に東海テイオーとのデートを\n楽しんで来い。
15,カリオストロはそんなクラリスに対し、\n楽しげな笑みを浮かべると\n小声で耳打ちをする。
14,クラリスは情けない声を出すと\n泣きそうな目でカリオストロを\n見つめる。
13,そ、そんなぁ……
12,在购物中\n一直一起这件事、\n本大爷可一句都没说过啊。
11,啊？　何言ってやがんだ？\nちゃんと一緒に\n買い出しに来ただろうが。
10,等、等下ー！？\n和说好的不一样！
9,姬塔对这番话\n点了点头。
8,她要买的东西最多了。\n所以、你帮帮忙。
7,碧和露丽娅跟本大爷一起。\n姬塔就和克拉莉丝一起吧。
6,要买的东西还挺多的\n这里就兵分两路吧。
5,这不是不管哪个都很重吗……
4,砂糖啊牛奶啊什么的各种各样的东西哦☆
3,话说、要买些什么？
2,从克拉莉丝那里得到了这样的请求\n于是姬塔她们就和克拉莉丝一起\n到街上购物了。
1,因为材料不足所以\n希望陪她一起去买。
0-synopsis,東海テイオー達はクラリスに頼まれて、足りない材料の買い出しのため街に来ていた。クラリスはカリオストロの計らいで東海テイオーとふたりきりで買い物をすることになるが、緊張して上手く言葉が続かない。それでもクラリスは楽しげな笑みを浮かべ、自らの想いの強さを改めて思い知るのだった。
0-chapter_name,我、会加油的！
