id,trans
filename,scene_chr626_q2_s10
info,scene_chr626_q2_s10
113,肝試しを終えた東海テイオーたちは、\nアニラたちの後を追って\n来た道を戻るのだった。
112,やれやれ……\nオイラたちも戻るとするか。
110,で、出たぁぁぁぁぁ～！
109,ウォォォォォン……！
105,すると──
104,目的を理解したアニラたちは、\n魔封じの札にスタンプを押す。
103,兄ちゃんが言ってたのは、\nお札にこのスタンプを\n押せって意味だったんだな。
102,見て下さい！\nお化けのイラストが描かれた\nスタンプが置いてありますよ！
101,はぁ……はぁ……\nあ、後はあのお社にお札を納めれば\nよいのじゃったな……？
100,ヘトヘトになりながらも\nなんとか墓地に着いたアニラは、\nお目当てのお社を発見する。
94,先頭を行くアニラは、肝試しの仕掛けに\nかかる度に飛び上がって驚いて、\n何度も東海テイオーたちに抱きついた。
93,うおっふ！
86,いひゃい！
79,あはぁっ！
73,急いでアニラたちの後を\n追いかける東海テイオー。
72,東海テイオー！\nオイラたちもふたりを追いかけるぞ！
70,あっ！\nアニラさん待って下さい！
68,これ以上驚かされてなるものか！\nルリア、気を取り直して行くぞ！　
67,ぐぬぬ……\nこの程度の安い仕掛けに\n肝を潰されるとは許すまじ！
65,地面までこんにゃくになってて\nびっくりしました……
64,こ、これは……\nただのこんにゃくではないかぁっ！
63,おいおい……\nふたりとも大丈夫か？
62,うひゃあ！\nな、なんですかこれは！
61,うぷあっ……！\n我の顔に粘液が……\n何かが襲いかかってきたぞ！
60,その時、茂みの中から飛び出した\n冷たくてぬるぬるとした存在が、\nアニラとルリアに襲いかかる。
59,う、上手く起き上がれません……
58,あいたっ……なんじゃこれは？\n地面がぶよぶよしているが……
57,一目散に逃げだしたふたりは、\n何かに足を取られて尻餅をつく。
54,うひゃぁぁぁぁぁっ！\nきゃぁぁぁぁぁぁっ！
53,ウガァァァァァァッ！
50,お、お化けかと思いました……
49,な……なんじゃ……\n驚かせおって！
48,グルルルル……
44,キキキキキ……
42,ひっ……
40,ひとまずこの魔封じのお札とやらを\nお墓のお社に置けばよいのじゃろう？
39,やるからには、\n与えられた任務を完璧に遂行せねばな。
34,ろうそくの男に見送られた一行は、\n魔封じのお札を手に\n森の中へと分け入って行く。
33,ありがとうございます。\nそれでは皆さまお気をつけて、\n行ってらっしゃいませ……
32,ろうそくの男の押しの強さに\n折れつつある仲間たちを前に、\nしぶしぶ承諾する東海テイオー。
31,ということじゃが……\nどうする？　東海テイオー殿？
30,まぁ大丈夫だろ！\nみんなで行けば怖くねぇって！
29,……わ、分かりました！\nそこまで言うなら……やります！
28,ろうそくの男は、アニラたちの顔を\nひとりひとりのぞき込んで\n情に訴えかけてくる。
27,本当に……お願いできませんか？\nあなたたちが霊を鎮めてくれないと\n大変なことになるんです……
26,気乗りせぬ依頼を断るのも、\n賢明な判断じゃな。
25,うぅ～\nお化けは怖いけど、頑張ります……！
24,東海テイオー殿がそう言うなら\n反対せぬが……
23-sel2_txt,やめとこうか……
23-sel1_txt,<span class='scene-font-katari'>力になろう！
23,ルリアの言うことも一理ある。\n肝を試すために、\n無闇に霊を刺激するものではないぞ？
22,困っている人の力には\nなりたいですけど……\nお、お化けとか出ませんか？
21,ああ！　よくわかんねぇけど\n肝試しってやつだろ？\nいいぜ！　行ってきてやるよ！
20,その場に充満する魔の力をお札に\n写し取って、さまよえる霊魂たちを\n鎮めていただきたいんです……
19,あなたたちにお願いがあります……\n森を抜けた先の墓地にあるお社に\nこの魔封じのお札を供えてもらいたい。
18,（お……思わせぶりな態度をしおって！\n危うく妄言を口走る\nところじゃった……！）
17,肝試し……じゃと……？
16,うふふっ！\nアタシはダーリンがいたから\n全然怖くなかったよ～！
15,ハッ……肝試しっつーから\nもっと怖いかと思ったけど、\n大したことなかったな～！
13,その時、前方の森の中から\nろうそくを手にしたカップルが現れた。
12,見える？　何言ってんだ？\nお前の隣にろうそく持った\n兄ちゃんがいるじゃねぇか？
11,……えっ？\nこのろうそくの男が見えるのか？
10,誰だ？　その兄ちゃんは？
9,（これは我にしか見えない、\n選ばれし者に課せられた試練……）
8,いや、その……幽……が、ええと……
7,アニラさん？\n急に立ち止まってどうしたんですか？
6,な、なにっ……！\nもしやお主は、我にしか見えないのか？
5,やはり……\nあなたは私のことが見えるのですね？
4,……ん？\n我に何か用か？
3,もし……\nそこの巻き角のお嬢さん……
2,その時、\nろうそくを手にした男と\n視線が合うアニラ。
1,お祭り会場を歩いているアニラたちは、\n屋台が途切れた森の前にさしかかる。
0-synopsis,お祭り会場を歩いていると、東海テイオー一行は肝試しに誘われる。お札を墓地のお社に供えて戻ってくるという内容のものだが、アニラは道中の様々な仕掛けに驚かされる。なんとかお社に辿り着きスタンプをお札に押した瞬間、ゾンビの仮装をした人々が現れ、驚いたアニラとルリアはその場を走り去ってしまうのだった。
0-chapter_name,エンドレスサマーバケーション
