id,trans
filename,scene_chr622_q1_s10
info,scene_chr622_q1_s10
126,しかし作業をする中で\n悔しそうに歯噛みする部下の存在に\nレオナは気づいていないのだった。
125,…………
124,レオナと兵士達は\n手際よく魔物の後始末をし、\n荒れた地面をならし始める。
123,はっ！
122,それじゃあ、道に倒れた魔物をどけて、\n街に戻りましょう。
121,はぁ……はぁ……\nこれでもう、大丈夫そうですね……
120,時を同じくして、\n兵士達も魔物の群れを\n全て討伐し終えていた。
114,せいっ！
113,レオナの強烈な一撃を食らい、\n大型の魔物は堪らず昏倒する。
110,ガグッ……
107,どりゃぁぁあああッッ！！
105,（これ以上の長期戦はまずい……\n次で決める！）
104,喉の奥から微かにこみ上げる鉄の味。\n痛みを無くした体が声なき悲鳴を\n上げ始めている。
103,……っ！\nけほっ……
91,見惚れている場合じゃないぞ。\n俺達は群れの方をやるんだ。
90,あ……あれを、ホントにひとりで……\n戦争が終わって、強さの箍が\nさらに外れたみたいに……
88,ぜぇああっ！
86,それっ！
84,"はぁっ！ "
83,レオナは素早く構えると、\n大型の魔物の懐に飛び込み\n強烈な攻撃を浴びせる。
82,平気ですよ。\nいまの私なら、これくらい……！
81,あの大型を相手に\nひとりで戦うおつもりですか！？\nいくらなんでも無茶です！
80,親玉は私が引き受けます。\nみなさんは魔物が街に流れないよう\n群れの包囲を！
79,下手に親玉を倒せば群れは散り散り……\n取りこぼせば、\n魔物が街に入り込むかもしれません。
78,新たな群れの接近を確認！\nこの大型の魔物が群れを\n率いていたものと思われます。
77,グルルルル……
75,は、はぁっ！
74,いまのうちです！\n早くあちらの陣に合流してください。
73,レオナ様……！
72,しかし凶悪な爪は\nレオナの得物によって弾かれ、\n兵士はことなきを得るのだった。
66,はぁああぁぁああッッッ！！
65,孤立し、抵抗の術を奪われた\n兵士に鋭い爪が振り下ろされる。
64,グガアアアーーッッ！！
63,突き出した剣は魔物の爪であしらわれ、\n勢い余って兵士の手を離れて\n遠くに落ちてしまう。
61,しまった……！　剣が！
56,くそ！\n……おりゃあっ！
55,まだ陣形を取りきらないうちに、\n大型の魔物は隊から離れた位置にいた\n兵士に襲い掛かる。
54,なっ！\n速い……！
53,グガアアアーーッッ！！
52,はっ！
51,陣形転換、鶴翼！\n守りを固め、機をうかがいます！
50,やっぱり……！
49,何だ、あれは！？\nひと際大きいのが来たぞ！
48,グオオオーーッッ！！
41,臨戦態勢を保ってください。\n各自、警戒を……
40,この程度の魔物なら、\n島の戦力で対処に困る相手では\nありません。
39,いえ……\n他にもまだ群れがあるか、\nもっと大型の魔物がいるはずです。
38,群れの殲滅を確認……\nあっけないものですね。
29,レオナと兵士達は\n手際よく魔物の群れを倒していく。
24,それっ！
23,ギャウ……
20,はぁああーっ！
19,<span class='scene-font-4'>会敵！</span>\n横陣展開！　迎撃します！
18,ガルルルル……！
16,はっ！
15,現れた魔物は、\n一筋縄でいく相手ではないでしょう。\n気を引き締めて臨んでください。
14,この島は交易拠点のひとつ。\n自衛の戦力は整っていたはず……
13,……厄介ですね。
12,幽世の存在は退けたものの、\n彼らが纏っていた異様な気配は\nまだ残っています。それが原因かも……
9,幽世の軍勢自体は東海テイオー達の\n活躍により元居た場所へと\n退いていったのだが……
7,いまより少し前、\nナル・グランデ空域の空を\n幽世の軍勢が黒く染めた。
4,あの騒動からですね。\n以前よりも明らかに\n魔物が凶暴になっています。
3,ここにも魔物が出たか……\nこのところ、\n討伐依頼が増えていますね。
2,レオナは自分の隊に所属している\nイデルバの兵士を引き連れて、\nグロース島付近の島を訪れていた。
1,旅立ちに向けた荷造りも\n終わらないまま、\n数日が過ぎたとある日──
0-synopsis,荷造りが終わらないまま数日が過ぎ、レオナは自分の隊を連れてグロース島付近の島を訪れる。その島は先日の幽世の騒動の影響を受けてか狂暴化した魔物の被害に遭っており、レオナ達は魔物討伐に来たのだ。魔物の群れを兵士達に任せた後、大型の魔物をいとも簡単に倒すレオナに部下の兵士達は圧倒されるのだった。
0-chapter_name,女獅子の強さの理由
